,Data,Cotacoes,Ref
0,2000-01-31,268.3625793457031,1-2000
1,2000-02-29,263.63934326171875,2-2000
2,2000-03-31,244.20986938476562,3-2000
3,2000-04-28,234.01211547851562,4-2000
4,2000-05-31,1.252358078956604,5-2000
5,2000-06-30,1.3120144605636597,6-2000
6,2000-07-31,1.3955061435699463,7-2000
7,2000-08-31,1.5624903440475464,8-2000
8,2000-09-29,1.4074337482452393,9-2000
9,2000-10-31,1.1927402019500732,10-2000
10,2000-11-30,0.9064818620681763,11-2000
11,2000-12-28,1.0615383386611938,12-2000
12,2001-01-31,1.2762315273284912,1-2001
13,2001-02-28,1.1331031322479248,2-2001
14,2001-03-30,1.1331031322479248,3-2001
15,2001-04-30,1.2046678066253662,4-2001
16,2001-05-31,0.9422644376754761,5-2001
17,2001-06-29,1.0615383386611938,6-2001
18,2001-07-31,1.0138483047485352,7-2001
19,2001-08-31,0.9899930357933044,8-2001
20,2001-09-28,0.8110795021057129,9-2001
21,2001-10-31,1.1331250667572021,10-2001
22,2001-11-30,1.3120394945144653,11-2001
23,2001-12-28,1.2762563228607178,12-2001
24,2002-01-31,1.371677041053772,1-2002
25,2002-02-27,1.646012783050537,2-2002
26,2002-03-28,1.6817954778671265,3-2002
27,2002-04-30,1.8845655918121338,4-2002
28,2002-05-31,1.8487827777862549,5-2002
29,2002-06-28,1.7414344549179077,6-2002
30,2002-07-31,1.7414662837982178,7-2002
31,2002-08-30,1.9680956602096558,8-2002
32,2002-09-30,1.538692593574524,9-2002
33,2002-10-31,2.0277340412139893,10-2002
34,2002-11-29,1.9323121309280396,11-2002
35,2002-12-30,2.0635182857513428,12-2002
36,2003-01-31,1.8965284824371338,1-2003
37,2003-02-28,1.9800225496292114,2-2003
38,2003-03-31,1.8368891477584839,3-2003
39,2003-04-30,2.12319278717041,4-2003
40,2003-05-30,1.8214128017425537,5-2003
41,2003-06-30,1.963952898979187,6-2003
42,2003-07-31,2.0350699424743652,7-2003
43,2003-08-29,2.6722726821899414,8-2003
44,2003-09-30,2.4602715969085693,9-2003
45,2003-10-31,2.542529821395874,10-2003
46,2003-11-28,2.9847629070281982,11-2003
47,2003-12-31,3.7157251834869385,12-2003
48,2004-01-30,3.794400215148926,1-2004
49,2004-02-27,3.859447717666626,2-2004
50,2004-03-31,4.204075336456299,3-2004
51,2004-04-30,3.8787612915039062,4-2004
52,2004-05-31,4.103981018066406,5-2004
53,2004-06-30,4.64825963973999,6-2004
54,2004-07-30,5.45687198638916,7-2004
55,2004-08-31,6.178869247436523,8-2004
56,2004-09-30,5.942937850952148,9-2004
57,2004-10-29,5.380524635314941,10-2004
58,2004-11-30,6.318663597106934,11-2004
59,2004-12-31,6.130238056182861,12-2004
60,2005-01-31,5.73015832901001,1-2005
61,2005-02-28,6.717779636383057,2-2005
62,2005-03-31,5.8409743309021,3-2005
63,2005-04-29,4.811882972717285,4-2005
64,2005-05-31,4.904477119445801,5-2005
65,2005-06-30,4.561364650726318,6-2005
66,2005-07-29,5.025575160980225,7-2005
67,2005-08-31,5.8578948974609375,8-2005
68,2005-09-30,6.867379665374756,9-2005
69,2005-10-31,6.2662034034729,10-2005
70,2005-11-30,6.820181846618652,11-2005
71,2005-12-29,8.17673110961914,12-2005
72,2006-01-31,9.986841201782227,1-2006
73,2006-02-28,10.213371276855469,2-2006
74,2006-03-31,10.202874183654785,3-2006
75,2006-04-28,11.355420112609863,4-2006
76,2006-05-31,9.962716102600098,5-2006
77,2006-06-30,10.270774841308594,6-2006
78,2006-07-31,10.829724311828613,7-2006
79,2006-08-31,10.02120304107666,8-2006
80,2006-09-29,9.52688217163086,9-2006
81,2006-10-31,10.156014442443848,10-2006
82,2006-11-30,10.989190101623535,11-2006
83,2006-12-28,11.323273658752441,12-2006
84,2007-01-31,11.611953735351562,1-2007
85,2007-02-28,11.849411010742188,2-2007
86,2007-03-30,12.271547317504883,3-2007
87,2007-04-30,13.577240943908691,4-2007
88,2007-05-31,14.35134220123291,5-2007
89,2007-06-29,16.297842025756836,6-2007
90,2007-07-31,15.63801383972168,7-2007
91,2007-08-31,15.949151992797852,8-2007
92,2007-09-28,16.035541534423828,9-2007
93,2007-10-31,18.00925636291504,10-2007
94,2007-11-30,16.995174407958984,11-2007
95,2007-12-28,17.386669158935547,12-2007
96,2008-01-31,17.386669158935547,1-2008
97,2008-02-29,17.484256744384766,2-2008
98,2008-03-31,17.484256744384766,3-2008
99,2008-04-30,17.484256744384766,4-2008
100,2008-05-30,17.62331771850586,5-2008
101,2008-06-30,17.62331771850586,6-2008
102,2008-07-31,23.267122268676758,7-2008
103,2008-08-29,19.4851131439209,8-2008
104,2008-09-30,19.4851131439209,9-2008
105,2008-10-31,19.4851131439209,10-2008
106,2008-11-28,19.609573364257812,11-2008
107,2008-12-30,10.413264274597168,12-2008
108,2009-01-30,11.616389274597168,1-2009
109,2009-02-27,11.616389274597168,2-2009
110,2009-03-31,11.644116401672363,3-2009
111,2009-04-30,11.644116401672363,4-2009
112,2009-05-29,14.284832000732422,5-2009
113,2009-06-30,14.20859146118164,6-2009
114,2009-07-31,15.199726104736328,7-2009
115,2009-08-31,15.289831161499023,8-2009
116,2009-09-30,16.461181640625,9-2009
117,2009-10-30,18.228586196899414,10-2009
118,2009-11-30,18.83306312561035,11-2009
119,2009-12-30,20.375802993774414,12-2009
120,2010-01-29,17.718700408935547,1-2010
121,2010-02-26,17.74666976928711,2-2010
122,2010-03-31,17.74666976928711,3-2010
123,2010-04-30,17.74666976928711,4-2010
124,2010-05-31,17.564939498901367,5-2010
125,2010-06-30,16.574275970458984,6-2010
126,2010-07-30,17.845977783203125,7-2010
127,2010-08-31,16.505970001220703,8-2010
128,2010-09-30,16.039615631103516,9-2010
129,2010-10-29,15.545004844665527,10-2010
130,2010-11-30,13.856369972229004,11-2010
131,2010-12-30,16.108919143676758,12-2010
132,2011-01-31,15.170951843261719,1-2011
133,2011-02-28,15.625720977783203,2-2011
134,2011-03-31,14.45036506652832,3-2011
135,2011-04-29,13.467049598693848,4-2011
136,2011-05-31,12.378935813903809,5-2011
137,2011-06-30,11.656647682189941,6-2011
138,2011-07-29,9.90457820892334,7-2011
139,2011-08-31,9.792662620544434,8-2011
140,2011-09-30,9.612651824951172,9-2011
141,2011-10-31,11.304765701293945,10-2011
142,2011-11-30,9.803271293640137,11-2011
143,2011-12-29,10.529440879821777,12-2011
144,2012-01-31,12.090697288513184,1-2012
145,2012-02-29,13.094650268554688,2-2012
146,2012-03-30,12.737194061279297,3-2012
147,2012-04-30,13.072757720947266,4-2012
148,2012-05-31,11.61192512512207,5-2012
149,2012-06-29,12.959085464477539,6-2012
150,2012-07-31,13.63266658782959,7-2012
151,2012-08-31,13.196954727172852,8-2012
152,2012-09-28,14.1826810836792,9-2012
153,2012-10-31,13.057185173034668,10-2012
154,2012-11-30,13.085613250732422,11-2012
155,2012-12-28,13.240693092346191,12-2012
156,2013-01-31,12.900995254516602,1-2013
157,2013-02-28,12.147759437561035,2-2013
158,2013-03-28,11.364660263061523,3-2013
159,2013-04-30,11.549511909484863,4-2013
160,2013-05-31,9.663493156433105,5-2013
161,2013-06-28,9.300649642944336,6-2013
162,2013-07-31,10.803857803344727,7-2013
163,2013-08-30,12.75702953338623,8-2013
164,2013-09-30,12.347916603088379,9-2013
165,2013-10-31,13.188467979431152,10-2013
166,2013-11-29,13.477926254272461,11-2013
167,2013-12-30,13.732512474060059,12-2013
168,2014-01-31,12.841466903686523,1-2014
169,2014-02-28,10.812292098999023,2-2014
170,2014-03-31,10.925490379333496,3-2014
171,2014-04-30,10.067705154418945,4-2014
172,2014-05-30,10.082013130187988,5-2014
173,2014-06-30,9.787038803100586,6-2014
174,2014-07-31,10.097140312194824,7-2014
175,2014-08-29,9.869854927062988,8-2014
176,2014-09-30,8.950493812561035,9-2014
177,2014-10-31,8.426230430603027,10-2014
178,2014-11-28,8.321154594421387,11-2014
179,2014-12-30,7.313454627990723,12-2014
180,2015-01-30,7.076796531677246,1-2015
181,2015-02-27,7.740961074829102,2-2015
182,2015-03-31,7.7609639167785645,3-2015
183,2015-04-30,7.699489116668701,4-2015
184,2015-05-29,6.658169269561768,5-2015
185,2015-06-30,5.792065143585205,6-2015
186,2015-07-31,4.554774761199951,7-2015
187,2015-08-31,4.102325916290283,8-2015
188,2015-09-30,4.274233341217041,9-2015
189,2015-10-30,4.242976665496826,10-2015
190,2015-11-30,4.801054000854492,11-2015
191,2015-12-30,3.6598193645477295,12-2015
192,2016-01-29,2.8334081172943115,1-2016
193,2016-02-29,2.7783141136169434,2-2016
194,2016-03-31,5.147357940673828,3-2016
195,2016-04-29,6.1469197273254395,4-2016
196,2016-05-31,4.383912086486816,5-2016
197,2016-06-30,4.635769367218018,6-2016
