Mes/Ano,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,
Janeiro,0.60%,0.85%,0.94%,1.06%,1.09%,0.58%,0.54%,0.38%,0.15%,0.73%,,,,,
Fevereiro,0.49%,0.79%,0.82%,1.00%,0.87%,0.47%,0.49%,0.29%,0.13%,0.76%,,,,,
Março,0.55%,0.77%,1.04%,1.16%,1.05%,0.53%,0.47%,0.34%,0.20%,0.93%,,,,,
Abril,0.61%,0.82%,0.95%,1.06%,0.79%,0.52%,0.52%,0.28%,0.21%,0.83%,,,,,
Maio,0.60%,0.87%,0.99%,1.11%,0.93%,0.52%,0.54%,0.24%,0.27%,1.03%,,,,,
Junho,0.61%,0.82%,1.07%,1.16%,0.81%,0.52%,0.47%,0.21%,0.31%,1.02%,,,,,
Julho,0.72%,0.95%,1.18%,1.11%,0.80%,0.54%,0.57%,0.19%,0.36%,1.03%,,,,,
Agosto,0.71%,0.87%,1.11%,1.22%,0.80%,0.57%,0.50%,0.16%,0.43%,,,,,,
Setembro,0.71%,0.91%,1.11%,1.11%,0.64%,0.47%,0.46%,0.16%,0.44%,,,,,,
Outubro,0.81%,0.95%,1.11%,1.05%,0.64%,0.54%,0.48%,0.16%,0.49%,,,,,,
Novembro,0.72%,0.84%,1.06%,1.04%,0.57%,0.49%,0.38%,0.15%,0.59%,,,,,,
Dezembro,0.79%,0.96%,1.16%,1.12%,0.54%,0.49%,0.37%,0.16%,0.77%,,,,,,
Total,7.92%,10.40%,12.54%,13.20%,9.53%,6.24%,5.79%,2.72%,4.35%,6.33%,,,,,
,,,,,,,,,,,,,,,
Variacao,,,,,,,,,,,,,,,
Mes/Ano,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,
Janeiro,,8%,-2%,-9%,-3%,7%,10%,3%,-6%,-5%,,,,,
Fevereiro,-18%,-7%,-13%,-6%,-20%,-19%,-9%,-24%,-13%,4%,,,,,
Março,12%,-3%,27%,16%,21%,13%,-4%,17%,54%,22%,,,,,
Abril,11%,6%,-9%,-9%,-25%,-2%,11%,-18%,5%,-11%,,,,,
Maio,-2%,6%,4%,5%,18%,0%,4%,-14%,29%,24%,,,,,
Junho,2%,-6%,8%,5%,-13%,0%,-13%,-13%,15%,-1%,,,,,
Julho,18%,16%,10%,-4%,-1%,4%,21%,-10%,16%,1%,,,,,
Agosto,-1%,-8%,-6%,10%,0%,6%,-12%,-16%,19%,,,,,,
Setembro,0%,5%,0%,-9%,-20%,-18%,-8%,0%,2%,,,,,,
Outubro,14%,4%,0%,-5%,0%,15%,4%,0%,11%,,,,,,
Novembro,-11%,-12%,-5%,-1%,-11%,-9%,-21%,-6%,20%,,,,,,
Dezembro,10%,14%,9%,8%,-5%,0%,-3%,7%,31%,,,,,,
Total,,31%,21%,5%,-28%,-35%,-7%,-53%,60%,,,,,,
