,Data
0,2013-01-02
1,2013-01-03
2,2013-01-04
3,2013-01-07
4,2013-01-08
5,2013-01-09
6,2013-01-10
7,2013-01-11
8,2013-01-14
9,2013-01-15
10,2013-01-16
11,2013-01-17
12,2013-01-18
13,2013-01-21
14,2013-01-22
15,2013-01-23
16,2013-01-24
17,2013-01-28
18,2013-01-29
19,2013-01-30
20,2013-01-31
21,2013-02-01
22,2013-02-04
23,2013-02-05
24,2013-02-06
25,2013-02-07
26,2013-02-08
27,2013-02-13
28,2013-02-14
29,2013-02-15
30,2013-02-18
31,2013-02-19
32,2013-02-20
33,2013-02-21
34,2013-02-22
35,2013-02-25
36,2013-02-26
37,2013-02-27
38,2013-02-28
39,2013-03-01
40,2013-03-04
41,2013-03-05
42,2013-03-06
43,2013-03-07
44,2013-03-08
45,2013-03-11
46,2013-03-12
47,2013-03-13
48,2013-03-14
49,2013-03-15
50,2013-03-18
51,2013-03-19
52,2013-03-20
53,2013-03-21
54,2013-03-22
55,2013-03-25
56,2013-03-26
57,2013-03-27
58,2013-03-28
59,2013-04-01
60,2013-04-02
61,2013-04-03
62,2013-04-04
63,2013-04-05
64,2013-04-08
65,2013-04-09
66,2013-04-10
67,2013-04-11
68,2013-04-12
69,2013-04-15
70,2013-04-16
71,2013-04-17
72,2013-04-18
73,2013-04-19
74,2013-04-22
75,2013-04-23
76,2013-04-24
77,2013-04-25
78,2013-04-26
79,2013-04-29
80,2013-04-30
81,2013-05-02
82,2013-05-03
83,2013-05-06
84,2013-05-07
85,2013-05-08
86,2013-05-09
87,2013-05-10
88,2013-05-13
89,2013-05-14
90,2013-05-15
91,2013-05-16
92,2013-05-17
93,2013-05-20
94,2013-05-21
95,2013-05-22
96,2013-05-23
97,2013-05-24
98,2013-05-27
99,2013-05-28
100,2013-05-29
101,2013-05-31
102,2013-06-03
103,2013-06-04
104,2013-06-05
105,2013-06-06
106,2013-06-07
107,2013-06-10
108,2013-06-11
109,2013-06-12
110,2013-06-13
111,2013-06-14
112,2013-06-17
113,2013-06-18
114,2013-06-19
115,2013-06-20
116,2013-06-21
117,2013-06-24
118,2013-06-25
119,2013-06-26
120,2013-06-27
121,2013-06-28
122,2013-07-01
123,2013-07-02
124,2013-07-03
125,2013-07-04
126,2013-07-05
127,2013-07-08
128,2013-07-10
129,2013-07-11
130,2013-07-12
131,2013-07-15
132,2013-07-16
133,2013-07-17
134,2013-07-18
135,2013-07-19
136,2013-07-22
137,2013-07-23
138,2013-07-24
139,2013-07-25
140,2013-07-26
141,2013-07-29
142,2013-07-30
143,2013-07-31
144,2013-08-01
145,2013-08-02
146,2013-08-05
147,2013-08-06
148,2013-08-07
149,2013-08-08
150,2013-08-09
151,2013-08-12
152,2013-08-13
153,2013-08-14
154,2013-08-15
155,2013-08-16
156,2013-08-19
157,2013-08-20
158,2013-08-21
159,2013-08-22
160,2013-08-23
161,2013-08-26
162,2013-08-27
