Data,Gerdau preferenciais,Gerdau Metalúrgica preferenciais,Vale,Usiminas,CSN,ArcelorMittal Brasil
1/4/2016,3.674640656,2.57569766,8.886400223,1.240651011,3.001189232,
1/5/2016,3.504668713,2.467410088,8.767355919,1.138679743,2.853462219,
1/6/2016,3.221381903,2.243099928,8.123109818,1.036708355,2.627984285,
1/7/2016,3.075690985,2.17348671,7.639924049,0.977225184,2.565783501,
1/8/2016,3.180911779,2.188956976,7.38082552,1.002717853,2.659084797,
1/11/2016,3.059502602,2.196691275,7.170743942,1.019713283,2.620208979,
1/12/2016,2.970469475,2.165751696,6.589521408,0.977225184,2.550233364,
1/13/2016,2.77621603,2.072933912,6.30241251,0.875253737,2.488032341,
1/14/2016,2.857155085,2.072933912,6.757586002,0.883751452,2.565783501,
1/15/2016,2.79240346,1.972380877,6.561511517,0.815770507,2.464706898,
1/18/2016,2.849061012,1.995585561,6.225382805,0.866756141,2.488032341,
1/19/2016,2.784309387,2.04199481,6.428461075,0.858258545,2.550233364,
1/20/2016,2.75193429,1.918237567,6.449467659,0.866756141,2.503582478,
1/21/2016,2.679088593,1.964645743,6.400449753,0.832765698,2.581333637,
1/22/2016,2.687182903,1.949176788,6.323420048,0.849761009,2.682409763,
1/26/2016,2.654807329,1.933707118,6.267398834,0.824268162,2.659084797,
1/27/2016,2.719558477,1.964645743,6.589521408,0.764784873,2.705735207,
1/28/2016,2.760028124,1.949176788,6.533500671,0.730794489,2.682409763,
1/29/2016,2.913812637,2.01105547,6.806605339,0.722296953,2.760161161,
2/1/2016,3.075690985,2.165751696,6.652546883,0.815770507,2.915663004,
2/2/2016,3.035222054,2.204425573,6.022304535,0.798775256,2.93121314,
2/3/2016,3.010939837,2.235364914,6.309414864,0.815770507,2.946763277,
2/4/2016,3.326602697,2.47514534,7.24077177,0.866756141,3.234442234,
2/5/2016,3.383259773,2.537023306,7.163742542,0.858258545,3.405494452,
2/10/2016,3.407541513,2.54475832,7.142733097,0.824268162,3.382168531,
2/11/2016,3.010939837,2.196691275,6.911646366,0.722296953,3.016739368,
2/12/2016,3.035222054,2.258569717,7.177746296,0.722296953,3.125590801,
2/15/2016,3.067597151,2.281774282,7.359817505,0.764784873,3.187791348,
2/16/2016,3.318508863,2.38232708,7.906025887,0.832765698,3.444369793,
2/17/2016,3.415635586,2.47514534,8.340191841,0.849761009,3.537671328,
2/18/2016,3.310414314,2.359122992,8.060084343,0.739292145,3.568771362,
2/19/2016,3.310414314,2.428735733,8.284171104,0.747789681,3.599872112,
2/22/2016,3.342790365,2.421001196,9.201522827,0.773282528,3.980851173,
2/23/2016,3.148536444,2.312713146,8.669318199,0.790277779,4.05860281,
2/24/2016,3.051409006,2.281774282,8.200138092,0.773282528,4.066378593,
2/25/2016,2.905718565,2.127077579,7.716954231,0.781780124,4.05860281,
2/26/2016,2.824779034,2.088403225,7.702948093,0.756287277,3.887550592,
2/29/2016,2.857155085,2.134812355,8.270165443,0.764784873,4.043052673,
3/1/2016,2.913812637,2.134812355,8.970435143,0.773282528,4.198554516,
3/2/2016,3.035222054,2.243099928,9.957810402,0.798775256,4.392932892,
3/3/2016,3.269944668,2.397796631,10.93818569,1.079196334,5.053816319,
3/4/2016,3.796050787,2.776803017,11.58943558,1.155674934,5.877976894,
3/7/2016,4.006490707,2.86188674,12.31071186,1.240651011,6.398908138,
3/8/2016,3.90127182,2.854151487,10.52502918,1.317129374,5.528097153,
3/9/2016,3.966023445,2.892825603,10.15388489,1.631541014,5.302619457,
3/10/2016,4.346436501,3.171279192,9.803752899,1.792995572,5.699150085,
3/11/2016,4.152183056,3.062991619,9.712716103,1.716517091,5.489221573,
3/14/2016,4.273591518,3.055257082,9.411602974,1.572057843,5.380369186,
3/15/2016,3.844614029,2.745863914,9.439612389,1.325626969,4.719486713,
3/16/2016,4.046961784,2.877356052,10.37797165,1.470086575,5.217092991,
3/17/2016,4.443564415,3.117135763,10.85415459,1.623043656,6.165654659,
3/18/2016,4.734945774,3.194483995,10.73510933,1.623043656,6.157879829,
3/21/2016,4.734945774,3.310506344,10.60906029,1.657034039,6.142329693,
3/22/2016,5.03442049,3.519346714,10.80513573,1.631541014,6.328932762,
3/23/2016,4.718758106,3.310506344,9.887784958,1.495579362,5.909076691,
