,Data Mãe,GGBR4.SA,GGBR3.SA,VALE3.SA,USIM5.SA,CSNA3.SA
0,2000-01-03,2000-01-03,2000-01-04,2000-01-03,2000-01-03,2000-01-03
1,2000-01-04,2000-01-04,2000-01-05,2000-01-04,2000-01-04,2000-01-04
2,2000-01-05,2000-01-05,2000-01-06,2000-01-05,2000-01-05,2000-01-05
3,2000-01-06,2000-01-06,2000-01-07,2000-01-06,2000-01-06,2000-01-06
4,2000-01-07,2000-01-07,2000-01-10,2000-01-07,2000-01-07,2000-01-07
5,2000-01-10,2000-01-10,2000-01-11,2000-01-10,2000-01-10,2000-01-10
6,2000-01-11,2000-01-11,2000-01-12,2000-01-11,2000-01-11,2000-01-11
7,2000-01-12,2000-01-12,2000-01-13,2000-01-12,2000-01-12,2000-01-12
8,2000-01-13,2000-01-13,2000-01-14,2000-01-13,2000-01-13,2000-01-13
9,2000-01-14,2000-01-14,2000-01-17,2000-01-14,2000-01-14,2000-01-14
10,2000-01-17,2000-01-17,2000-01-18,2000-01-17,2000-01-17,2000-01-17
11,2000-01-18,2000-01-18,2000-01-19,2000-01-18,2000-01-18,2000-01-18
12,2000-01-19,2000-01-19,2000-01-20,2000-01-19,2000-01-19,2000-01-19
13,2000-01-20,2000-01-20,2000-01-21,2000-01-20,2000-01-20,2000-01-20
14,2000-01-21,2000-01-21,2000-01-24,2000-01-21,2000-01-21,2000-01-21
15,2000-01-24,2000-01-24,2000-01-25,2000-01-24,2000-01-24,2000-01-24
16,2000-01-25,2000-01-25,2000-01-26,2000-01-25,2000-01-25,2000-01-26
17,2000-01-26,2000-01-26,2000-01-27,2000-01-26,2000-01-26,2000-01-27
18,2000-01-27,2000-01-27,2000-01-28,2000-01-27,2000-01-27,2000-01-28
19,2000-01-28,2000-01-28,2000-01-31,2000-01-28,2000-01-28,2000-01-31
20,2000-01-31,2000-01-31,2000-02-01,2000-01-31,2000-01-31,2000-02-01
21,2000-02-01,2000-02-01,2000-02-02,2000-02-01,2000-02-01,2000-02-02
22,2000-02-02,2000-02-02,2000-02-03,2000-02-02,2000-02-02,2000-02-03
23,2000-02-03,2000-02-03,2000-02-04,2000-02-03,2000-02-03,2000-02-04
24,2000-02-04,2000-02-04,2000-02-07,2000-02-04,2000-02-04,2000-02-07
25,2000-02-07,2000-02-07,2000-02-08,2000-02-07,2000-02-07,2000-02-08
26,2000-02-08,2000-02-08,2000-02-09,2000-02-08,2000-02-08,2000-02-09
27,2000-02-09,2000-02-09,2000-02-10,2000-02-09,2000-02-09,2000-02-10
28,2000-02-10,2000-02-10,2000-02-11,2000-02-10,2000-02-10,2000-02-11
29,2000-02-11,2000-02-11,2000-02-14,2000-02-11,2000-02-11,2000-02-14
30,2000-02-14,2000-02-14,2000-02-15,2000-02-14,2000-02-14,2000-02-15
31,2000-02-15,2000-02-15,2000-02-16,2000-02-15,2000-02-15,2000-02-16
32,2000-02-16,2000-02-16,2000-02-17,2000-02-16,2000-02-16,2000-02-17
33,2000-02-17,2000-02-17,2000-02-18,2000-02-17,2000-02-17,2000-02-18
34,2000-02-18,2000-02-18,2000-02-21,2000-02-18,2000-02-18,2000-02-21
35,2000-02-21,2000-02-21,2000-02-22,2000-02-21,2000-02-21,2000-02-22
36,2000-02-22,2000-02-22,2000-02-23,2000-02-22,2000-02-22,2000-02-23
37,2000-02-23,2000-02-23,2000-02-24,2000-02-23,2000-02-23,2000-02-24
38,2000-02-24,2000-02-24,2000-02-25,2000-02-24,2000-02-24,2000-02-25
39,2000-02-25,2000-02-25,2000-02-28,2000-02-25,2000-02-25,2000-02-28
40,2000-02-28,2000-02-28,2000-02-29,2000-02-28,2000-02-28,2000-02-29
41,2000-02-29,2000-02-29,2000-03-01,2000-02-29,2000-02-29,2000-03-01
42,2000-03-01,2000-03-01,2000-03-02,2000-03-01,2000-03-01,2000-03-02
43,2000-03-02,2000-03-02,2000-03-03,2000-03-02,2000-03-02,2000-03-03
44,2000-03-03,2000-03-03,2000-03-06,2000-03-03,2000-03-03,2000-03-08
45,2000-03-06,2000-03-06,2000-03-07,2000-03-06,2000-03-06,2000-03-09
46,2000-03-07,2000-03-07,2000-03-08,2000-03-07,2000-03-07,2000-03-10
47,2000-03-08,2000-03-08,2000-03-09,2000-03-08,2000-03-08,2000-03-13
48,2000-03-09,2000-03-09,2000-03-10,2000-03-09,2000-03-09,2000-03-14
49,2000-03-10,2000-03-10,2000-03-13,2000-03-10,2000-03-10,2000-03-15
50,2000-03-13,2000-03-13,2000-03-14,2000-03-13,2000-03-13,2000-03-16
51,2000-03-14,2000-03-14,2000-03-15,2000-03-14,2000-03-14,2000-03-17
52,2000-03-15,2000-03-15,2000-03-16,2000-03-15,2000-03-15,2000-03-20
53,2000-03-16,2000-03-16,2000-03-17,2000-03-16,2000-03-16,2000-03-21
54,2000-03-17,2000-03-17,2000-03-20,2000-03-17,2000-03-17,2000-03-22
55,2000-03-20,2000-03-20,2000-03-21,2000-03-20,2000-03-20,2000-03-23
56,2000-03-21,2000-03-21,2000-03-22,2000-03-21,2000-03-21,2000-03-24
57,2000-03-22,2000-03-22,2000-03-23,2000-03-22,2000-03-22,2000-03-27
58,2000-03-23,2000-03-23,2000-03-24,2000-03-23,2000-03-23,2000-03-28
59,2000-03-24,2000-03-24,2000-03-27,2000-03-24,2000-03-24,2000-03-29
60,2000-03-27,2000-03-27,2000-03-28,2000-03-27,2000-03-27,2000-03-30
61,2000-03-28,2000-03-28,2000-03-29,2000-03-28,2000-03-28,2000-03-31
62,2000-03-29,2000-03-29,2000-03-30,2000-03-29,2000-03-29,2000-04-03
63,2000-03-30,2000-03-30,2000-03-31,2000-03-30,2000-03-30,2000-04-04
64,2000-03-31,2000-03-31,2000-04-03,2000-03-31,2000-03-31,2000-04-05
65,2000-04-03,2000-04-03,2000-04-04,2000-04-03,2000-04-03,2000-04-06
66,2000-04-04,2000-04-04,2000-04-05,2000-04-04,2000-04-04,2000-04-07
67,2000-04-05,2000-04-05,2000-04-06,2000-04-05,2000-04-05,2000-04-10
