Data,Gerdau preferenciais,GP%,Gerdau Metalúrgica preferenciais,GM%,Vale,Vale%,Usiminas,Usiminas%,CSN,CSN%,ArcelorMittal Brasil,AM%
1/4/2016,3.674640656,0,2.57569766,0,8.886400223,0,1.240651011,0,3.001189232,0,0,0
1/5/2016,3.504668713,-0.169971943,2.467410088,-0.108287572,8.767355919,-0.119044304,1.138679743,-0.101971268,2.853462219,-0.147727013,0,0
1/6/2016,3.221381903,-0.28328681,2.243099928,-0.22431016,8.123109818,-0.644246101,1.036708355,-0.101971388,2.627984285,-0.225477934,0,0
1/7/2016,3.075690985,-0.145690918,2.17348671,-0.069613218,7.639924049,-0.483185769,0.977225184,-0.059483171,2.565783501,-0.062200784,0,0
1/8/2016,3.180911779,0.105220794,2.188956976,0.015470266,7.38082552,-0.259098529,1.002717853,0.025492669,2.659084797,0.093301296,0,0
1/11/2016,3.059502602,-0.121409177,2.196691275,0.007734299,7.170743942,-0.210081578,1.019713283,0.01699543,2.620208979,-0.038875818,0,0
1/12/2016,2.970469475,-0.089033127,2.165751696,-0.030939579,6.589521408,-0.581222534,0.977225184,-0.042488099,2.550233364,-0.069975615,0,0
1/13/2016,2.77621603,-0.194253445,2.072933912,-0.092817784,6.30241251,-0.287108898,0.875253737,-0.101971447,2.488032341,-0.062201023,0,0
1/14/2016,2.857155085,0.080939055,2.072933912,0,6.757586002,0.455173492,0.883751452,0.008497715,2.565783501,0.07775116,0,0
1/15/2016,2.79240346,-0.064751625,1.972380877,-0.100553035,6.561511517,-0.196074485,0.815770507,-0.067980945,2.464706898,-0.101076603,0,0
1/18/2016,2.849061012,0.056657552,1.995585561,0.023204684,6.225382805,-0.336128712,0.866756141,0.050985634,2.488032341,0.023325443,0,0
1/19/2016,2.784309387,-0.064751625,2.04199481,0.046409249,6.428461075,0.20307827,0.858258545,-0.008497596,2.550233364,0.062201023,0,0
1/20/2016,2.75193429,-0.032375097,1.918237567,-0.123757243,6.449467659,0.021006584,0.866756141,0.008497596,2.503582478,-0.046650886,0,0
1/21/2016,2.679088593,-0.072845697,1.964645743,0.046408176,6.400449753,-0.049017906,0.832765698,-0.033990443,2.581333637,0.077751159,0,0
1/22/2016,2.687182903,0.00809431,1.949176788,-0.015468955,6.323420048,-0.077029705,0.849761009,0.016995311,2.682409763,0.101076126,0,0
1/26/2016,2.654807329,-0.032375574,1.933707118,-0.01546967,6.267398834,-0.056021214,0.824268162,-0.025492847,2.659084797,-0.023324966,0,0
1/27/2016,2.719558477,0.064751148,1.964645743,0.030938625,6.589521408,0.322122574,0.764784873,-0.059483289,2.705735207,0.04665041,0,0
1/28/2016,2.760028124,0.040469647,1.949176788,-0.015468955,6.533500671,-0.056020737,0.730794489,-0.033990384,2.682409763,-0.023325444,0,0
1/29/2016,2.913812637,0.153784513,2.01105547,0.061878682,6.806605339,0.273104668,0.722296953,-0.008497536,2.760161161,0.077751398,0,0
2/1/2016,3.075690985,0.161878348,2.165751696,0.154696226,6.652546883,-0.154058456,0.815770507,0.093473554,2.915663004,0.155501843,0,0
2/2/2016,3.035222054,-0.040468931,2.204425573,0.038673877,6.022304535,-0.630242348,0.798775256,-0.016995251,2.93121314,0.015550136,0,0
2/3/2016,3.010939837,-0.024282217,2.235364914,0.030939341,6.309414864,0.287110329,0.815770507,0.016995251,2.946763277,0.015550137,0,0
2/4/2016,3.326602697,0.31566286,2.47514534,0.239780426,7.24077177,0.931356906,0.866756141,0.050985634,3.234442234,0.287678957,0,0
2/5/2016,3.383259773,0.056657076,2.537023306,0.061877966,7.163742542,-0.077029228,0.858258545,-0.008497596,3.405494452,0.171052218,0,0
2/10/2016,3.407541513,0.02428174,2.54475832,0.007735014,7.142733097,-0.021009445,0.824268162,-0.033990383,3.382168531,-0.023325921,0,0
2/11/2016,3.010939837,-0.396601676,2.196691275,-0.348067045,6.911646366,-0.231086731,0.722296953,-0.101971209,3.016739368,-0.365429163,0,0
2/12/2016,3.035222054,0.024282217,2.258569717,0.061878442,7.177746296,0.26609993,0.722296953,0,3.125590801,0.108851433,0,0
2/15/2016,3.067597151,0.032375097,2.281774282,0.023204565,7.359817505,0.182071209,0.764784873,0.04248792,3.187791348,0.062200547,0,0
2/16/2016,3.318508863,0.250911712,2.38232708,0.100552798,7.906025887,0.546208382,0.832765698,0.067980825,3.444369793,0.256578445,0,0
2/17/2016,3.415635586,0.097126723,2.47514534,0.09281826,8.340191841,0.434165954,0.849761009,0.016995311,3.537671328,0.093301535,0,0
2/18/2016,3.310414314,-0.105221272,2.359122992,-0.116022348,8.060084343,-0.280107498,0.739292145,-0.110468864,3.568771362,0.031100034,0,0
2/19/2016,3.310414314,0,2.428735733,0.069612741,8.284171104,0.224086761,0.747789681,0.008497536,3.599872112,0.03110075,0,0
2/22/2016,3.342790365,0.032376051,2.421001196,-0.007734537,9.201522827,0.917351723,0.773282528,0.025492847,3.980851173,0.380979061,0,0
2/23/2016,3.148536444,-0.194253921,2.312713146,-0.10828805,8.669318199,-0.532204628,0.790277779,0.016995251,4.05860281,0.077751637,0,0
2/24/2016,3.051409006,-0.097127438,2.281774282,-0.030938864,8.200138092,-0.469180107,0.773282528,-0.016995251,4.066378593,0.007775783,0,0
2/25/2016,2.905718565,-0.145690441,2.127077579,-0.154696703,7.716954231,-0.483183861,0.781780124,0.008497596,4.05860281,-0.007775783,0,0
2/26/2016,2.824779034,-0.080939531,2.088403225,-0.038674354,7.702948093,-0.014006138,0.756287277,-0.025492847,3.887550592,-0.171052218,0,0
2/29/2016,2.857155085,0.032376051,2.134812355,0.04640913,8.270165443,0.56721735,0.764784873,0.008497596,4.043052673,0.155502081,0,0
3/1/2016,2.913812637,0.056657552,2.134812355,0,8.970435143,0.7002697,0.773282528,0.008497655,4.198554516,0.155501843,0,0
3/2/2016,3.035222054,0.121409417,2.243099928,0.108287573,9.957810402,0.987375259,0.798775256,0.025492728,4.392932892,0.194378376,0,0
3/3/2016,3.269944668,0.234722614,2.397796631,0.154696703,10.93818569,0.980375288,1.079196334,0.280421078,5.053816319,0.660883427,0,0
3/4/2016,3.796050787,0.526106119,2.776803017,0.379006386,11.58943558,0.65124989,1.155674934,0.0764786,5.877976894,0.824160575,0,0
3/7/2016,4.006490707,0.21043992,2.86188674,0.085083723,12.31071186,0.72127628,1.240651011,0.084976077,6.398908138,0.520931244,0,0
3/8/2016,3.90127182,-0.105218887,2.854151487,-0.007735253,10.52502918,-1.78568268,1.317129374,0.076478363,5.528097153,-0.870810985,0,0
3/9/2016,3.966023445,0.064751625,2.892825603,0.038674116,10.15388489,-0.37114429,1.631541014,0.31441164,5.302619457,-0.225477696,0,0
3/10/2016,4.346436501,0.380413056,3.171279192,0.278453589,9.803752899,-0.350131991,1.792995572,0.161454558,5.699150085,0.396530628,0,0
3/11/2016,4.152183056,-0.194253445,3.062991619,-0.108287573,9.712716103,-0.091036796,1.716517091,-0.076478481,5.489221573,-0.209928512,0,0
3/14/2016,4.273591518,0.121408462,3.055257082,-0.007734537,9.411602974,-0.301113129,1.572057843,-0.144459248,5.380369186,-0.108852387,0,0
3/15/2016,3.844614029,-0.428977489,2.745863914,-0.309393168,9.439612389,0.028009415,1.325626969,-0.246430874,4.719486713,-0.660882473,0,0
3/16/2016,4.046961784,0.202347755,2.877356052,0.131492138,10.37797165,0.938359261,1.470086575,0.144459606,5.217092991,0.497606278,0,0
3/17/2016,4.443564415,0.396602631,3.117135763,0.239779711,10.85415459,0.47618294,1.623043656,0.152957081,6.165654659,0.948561668,0,0
3/18/2016,4.734945774,0.291381359,3.194483995,0.077348232,10.73510933,-0.11904526,1.623043656,0,6.157879829,-0.00777483,0,0
3/21/2016,4.734945774,0,3.310506344,0.116022349,10.60906029,-0.12604904,1.657034039,0.033990383,6.142329693,-0.015550136,0,0
3/22/2016,5.03442049,0.299474716,3.519346714,0.20884037,10.80513573,0.19607544,1.631541014,-0.025493025,6.328932762,0.186603069,0,0
3/23/2016,4.718758106,-0.315662384,3.310506344,-0.20884037,9.887784958,-0.917350772,1.495579362,-0.135961652,5.909076691,-0.419856071,0,0
3/24/2016,4.840165615,0.121407509,3.426528454,0.11602211,10.53903294,0.651247982,1.555062652,0.05948329,6.056803703,0.147727012,0,0
