,0
0,2000-01-31
1,2000-02-29
2,2000-03-31
3,2000-04-28
4,2000-05-31
5,2000-06-30
6,2000-07-31
7,2000-08-31
8,2000-09-29
9,2000-10-31
10,2000-11-30
11,2000-12-29
12,2001-01-31
13,2001-02-28
14,2001-03-30
15,2001-04-30
16,2001-05-31
17,2001-06-29
18,2001-07-31
19,2001-08-31
20,2001-09-28
21,2001-10-31
22,2001-11-30
23,2001-12-31
24,2002-01-31
25,2002-02-28
26,2002-03-29
27,2002-04-30
28,2002-05-31
29,2002-06-28
30,2002-07-31
31,2002-08-30
32,2002-09-30
33,2002-10-31
34,2002-11-29
35,2002-12-31
36,2003-01-31
37,2003-02-28
38,2003-03-31
39,2003-04-30
40,2003-05-30
41,2003-06-30
42,2003-07-31
43,2003-08-29
44,2003-09-30
45,2003-10-31
46,2003-11-28
47,2003-12-31
48,2004-01-30
49,2004-02-27
50,2004-03-31
51,2004-04-30
52,2004-05-31
53,2004-06-30
54,2004-07-30
55,2004-08-31
56,2004-09-30
57,2004-10-29
58,2004-11-30
59,2004-12-31
60,2005-01-31
61,2005-02-28
62,2005-03-31
63,2005-04-29
64,2005-05-31
65,2005-06-30
66,2005-07-29
67,2005-08-31
68,2005-09-30
69,2005-10-31
70,2005-11-30
71,2005-12-30
72,2006-01-31
73,2006-02-28
74,2006-03-31
75,2006-04-28
76,2006-05-31
77,2006-06-30
78,2006-07-31
79,2006-08-31
80,2006-09-29
81,2006-10-31
82,2006-11-30
83,2006-12-29
84,2007-01-31
85,2007-02-28
86,2007-03-30
87,2007-04-30
88,2007-05-31
89,2007-06-29
90,2007-07-31
91,2007-08-31
92,2007-09-28
93,2007-10-31
94,2007-11-30
95,2007-12-31
96,2008-01-31
97,2008-02-29
98,2008-03-31
99,2008-04-30
100,2008-05-30
101,2008-06-30
102,2008-07-31
103,2008-08-29
104,2008-09-30
105,2008-10-31
106,2008-11-28
107,2008-12-31
108,2009-01-30
109,2009-02-27
110,2009-03-31
111,2009-04-30
112,2009-05-29
113,2009-06-30
114,2009-07-31
115,2009-08-31
116,2009-09-30
117,2009-10-30
118,2009-11-30
119,2009-12-31
120,2010-01-29
121,2010-02-26
122,2010-03-31
123,2010-04-30
124,2010-05-31
125,2010-06-30
126,2010-07-30
127,2010-08-31
128,2010-09-30
129,2010-10-29
130,2010-11-30
131,2010-12-31
132,2011-01-31
133,2011-02-28
134,2011-03-31
135,2011-04-29
136,2011-05-31
137,2011-06-30
138,2011-07-29
139,2011-08-31
140,2011-09-30
141,2011-10-31
142,2011-11-30
143,2011-12-30
144,2012-01-31
145,2012-02-29
146,2012-03-30
147,2012-04-30
148,2012-05-31
149,2012-06-29
150,2012-07-31
151,2012-08-31
152,2012-09-28
153,2012-10-31
154,2012-11-30
155,2012-12-31
156,2013-01-31
157,2013-02-28
158,2013-03-29
159,2013-04-30
160,2013-05-31
161,2013-06-28
162,2013-07-31
163,2013-08-30
164,2013-09-30
165,2013-10-31
166,2013-11-29
167,2013-12-31
168,2014-01-31
169,2014-02-28
170,2014-03-31
171,2014-04-30
172,2014-05-30
173,2014-06-30
174,2014-07-31
175,2014-08-29
176,2014-09-30
177,2014-10-31
178,2014-11-28
179,2014-12-31
180,2015-01-30
181,2015-02-27
182,2015-03-31
183,2015-04-30
184,2015-05-29
185,2015-06-30
186,2015-07-31
187,2015-08-31
188,2015-09-30
189,2015-10-30
190,2015-11-30
191,2015-12-31
192,2016-01-29
193,2016-02-29
194,2016-03-31
195,2016-04-29
196,2016-05-31
197,2016-06-30
198,2016-07-29
199,2016-08-31
200,2016-09-30
201,2016-10-31
202,2016-11-30
203,2016-12-30
204,2017-01-31
205,2017-02-28
206,2017-03-31
207,2017-04-28
208,2017-05-31
209,2017-06-30
210,2017-07-31
211,2017-08-31
212,2017-09-29
213,2017-10-31
214,2017-11-30
215,2017-12-29
216,2018-01-31
217,2018-02-28
218,2018-03-30
219,2018-04-30
220,2018-05-31
221,2018-06-29
222,2018-07-31
223,2018-08-31
224,2018-09-28
225,2018-10-31
226,2018-11-30
227,2018-12-31
228,2019-01-31
229,2019-02-28
230,2019-03-29
231,2019-04-30
232,2019-05-31
233,2019-06-28
234,2019-07-31
235,2019-08-30
236,2019-09-30
237,2019-10-31
238,2019-11-29
239,2019-12-31
240,2020-01-31
241,2020-02-28
242,2020-03-31
243,2020-04-30
244,2020-05-29
245,2020-06-30
246,2020-07-31
247,2020-08-31
248,2020-09-30
249,2020-10-30
250,2020-11-30
251,2020-12-31
252,2021-01-29
253,2021-02-26
254,2021-03-31
255,2021-04-30
256,2021-05-31
257,2021-06-30
258,2021-07-30
259,2021-08-31
260,2021-09-30
261,2021-10-29
262,2021-11-30
263,2021-12-31
264,2022-01-31
265,2022-02-28
266,2022-03-31
267,2022-04-29
268,2022-05-31
269,2022-06-30
270,2022-07-29
271,2022-08-31
272,2022-09-30
273,2022-10-31
274,2022-11-30
275,2022-12-30
