,Data,Cotacoes,Ref
0,2000-01-31,1.9514224529266357,1-2000
1,2000-02-29,1.6587084531784058,2-2000
2,2000-03-31,1.6261849403381348,3-2000
3,2000-04-28,1.6261849403381348,4-2000
4,2000-05-31,1.700176477432251,5-2000
5,2000-06-30,1.8290510177612305,6-2000
6,2000-07-31,1.8091310262680054,7-2000
7,2000-08-31,1.8782439231872559,8-2000
8,2000-09-29,1.7095266580581665,9-2000
9,2000-10-31,1.788803219795227,10-2000
10,2000-11-30,1.5042210817337036,11-2000
11,2000-12-29,1.8904401063919067,12-2000
12,2001-01-31,2.0733859539031982,1-2001
13,2001-02-28,1.9920765161514282,2-2001
14,2001-03-30,2.012404441833496,3-2001
15,2001-04-30,1.9717494249343872,4-2001
16,2001-05-31,2.103876829147339,5-2001
17,2001-06-29,2.1546947956085205,6-2001
18,2001-07-31,2.146564483642578,7-2001
19,2001-08-31,2.0855824947357178,8-2001
20,2001-09-28,2.053058385848999,9-2001
21,2001-10-31,2.1542885303497314,10-2001
22,2001-11-30,2.012404441833496,11-2001
23,2001-12-31,2.1140406131744385,12-2001
24,2002-01-31,2.081516742706299,1-2002
25,2002-02-28,2.508389949798584,2-2002
26,2002-03-29,2.581568717956543,3-2002
27,2002-04-30,2.6181576251983643,4-2002
28,2002-05-31,3.0893454551696777,5-2002
29,2002-06-28,3.158864736557007,6-2002
30,2002-07-31,3.374333620071411,7-2002
31,2002-08-30,3.0490970611572266,8-2002
32,2002-09-30,3.520690441131592,9-2002
33,2002-10-31,3.9028449058532715,10-2002
34,2002-11-29,4.065462589263916,11-2002
35,2002-12-31,4.183361530303955,12-2002
36,2003-01-31,3.9353673458099365,1-2003
37,2003-02-28,4.228081226348877,2-2003
38,2003-03-31,3.699571132659912,3-2003
39,2003-04-30,3.3332736492156982,4-2003
40,2003-05-30,3.577606678009033,5-2003
41,2003-06-30,3.4149892330169678,6-2003
42,2003-07-31,4.183361530303955,7-2003
43,2003-08-29,4.504533290863037,8-2003
44,2003-09-30,4.756998062133789,9-2003
45,2003-10-31,5.285100936889648,10-2003
46,2003-11-28,5.244446754455566,11-2003
47,2003-12-31,6.890958309173584,12-2003
48,2004-01-30,6.342122554779053,1-2004
49,2004-02-27,6.8503031730651855,2-2004
50,2004-03-31,6.484819412231445,3-2004
51,2004-04-30,5.297703266143799,4-2004
52,2004-05-31,6.38724946975708,5-2004
53,2004-06-30,5.915247440338135,6-2004
54,2004-07-30,6.6632914543151855,7-2004
55,2004-08-31,6.8299784660339355,8-2004
56,2004-09-30,7.830080032348633,9-2004
57,2004-10-29,7.43979549407959,10-2004
58,2004-11-30,8.122795104980469,11-2004
59,2004-12-31,9.208272933959961,12-2004
