,* Puxei aqui os dados apenas para as datas com intersecção,,,,,,
,Data,Vale,Gerdau Pref,Gerdau Met Pref,CSN,Usiminas,Selic
1-2000,1/31/2000,1.951422453,268.3625793,0.219444335,1.667136073,1.731118798,1.46
2-2000,2/29/2000,1.658708453,263.6393433,0.231984019,1.566680193,1.566250205,1.45
3-2000,3/31/2000,1.62618494,244.2098694,0.200634867,1.754767776,1.426111817,1.45
4-2000,4/28/2000,1.62618494,234.0121155,0.219444335,1.453400373,1.244755983,1.3
5-2000,5/31/2000,1.700176477,1.252358079,0.980718851,1.709883332,1.318946958,1.49
6-2000,6/30/2000,1.829051018,1.312014461,0.878588557,1.611564755,1.375002384,1.39
7-2000,7/31/2000,1.809131026,1.395506144,1.014535904,1.624388576,1.615710139,1.31
8-2000,8/31/2000,1.878243923,1.562490344,1.115990639,1.883008718,1.747604728,1.41
9-2000,9/29/2000,1.709526658,1.407433748,1.088935852,1.65644908,1.731118798,1.22
10-2000,10/31/2000,1.78880322,1.192740202,1.014535904,1.511109352,1.615710139,1.29
11-2000,11/30/2000,1.504221082,0.906481862,0.848828733,1.468362212,1.318946958,1.22
1-2001,1/31/2001,2.073385954,1.276231527,1.082172275,2.109568596,1.96193397,1.27
2-2001,2/28/2001,1.992076516,1.133103132,1.082172275,1.981326818,1.714631796,1.02
3-2001,3/30/2001,2.012404442,1.133103132,1.082172275,1.335845828,1.416219115,1.26
4-2001,4/30/2001,1.971749425,1.204667807,1.115990639,1.472636938,1.404679179,1.19
5-2001,5/31/2001,2.103876829,0.942264438,1.115990639,1.370044112,1.071644425,1.34
6-2001,6/29/2001,2.154694796,1.061538339,1.014535904,1.224703908,1.078239322,1.27
7-2001,7/31/2001,2.146564484,1.013848305,1.082172275,1.11142385,1.037021756,1.5
8-2001,8/31/2001,2.085582495,0.989993036,1.082172275,1.015242815,0.939749718,1.6
9-2001,9/28/2001,2.053058386,0.811079502,0.825833023,0.769447446,0.654527545,1.32
10-2001,10/31/2001,2.15428853,1.133125067,0.946901143,0.797232628,0.646284282,1.53
11-2001,11/30/2001,2.012404442,1.312039495,1.217444062,0.99814415,0.94799298,1.39
1-2002,1/31/2002,2.081516743,1.371677041,1.237734914,1.062264919,1.182106376,1.53
4-2002,4/30/2002,2.618157625,1.884565592,1.690894485,1.331571579,1.318946958,1.48
5-2002,5/31/2002,3.089345455,1.848782778,1.893802285,1.376455665,1.261243582,1.41
6-2002,6/28/2002,3.158864737,1.741434455,1.690894485,1.258901,1.121105552,1.33
7-2002,7/31/2002,3.37433362,1.741466284,1.670604229,1.211879849,0.865558982,1.54
8-2002,8/30/2002,3.049097061,1.96809566,1.690894485,1.154171228,0.943047404,1.44
9-2002,9/30/2002,3.520690441,1.538692594,1.623258471,0.865628362,0.735313118,1.38
10-2002,10/31/2002,3.902844906,2.027734041,1.606350064,1.053715348,0.880396962,1.65
11-2002,11/29/2002,4.065462589,1.932312131,1.562386513,1.382867813,1.007345557,1.54
1-2003,1/31/2003,3.935367346,1.896528482,1.724712968,1.645762324,1.220026135,1.97
2-2003,2/28/2003,4.228081226,1.98002255,1.758530259,1.767591476,1.24805367,1.83
3-2003,3/31/2003,3.699571133,1.836889148,1.825489044,1.853086233,1.51019454,1.78
