,Data,Cotacoes,Ref
0,2000-01-31,1.7311187982559204,1-2000
1,2000-02-29,1.566250205039978,2-2000
2,2000-03-31,1.4261118173599243,3-2000
3,2000-04-28,1.2447559833526611,4-2000
4,2000-05-31,1.3189469575881958,5-2000
5,2000-06-30,1.375002384185791,6-2000
6,2000-07-31,1.6157101392745972,7-2000
7,2000-08-31,1.7476047277450562,8-2000
8,2000-09-29,1.7311187982559204,9-2000
9,2000-10-31,1.6157101392745972,10-2000
10,2000-11-30,1.3189469575881958,11-2000
11,2000-12-29,1.4475449323654175,12-2000
12,2001-01-31,1.961933970451355,1-2001
13,2001-02-28,1.7146317958831787,2-2001
14,2001-03-30,1.4162191152572632,3-2001
15,2001-04-30,1.4046791791915894,4-2001
16,2001-05-31,1.0716444253921509,5-2001
17,2001-06-29,1.0782393217086792,6-2001
18,2001-07-31,1.0370217561721802,7-2001
19,2001-08-31,0.9397497177124023,8-2001
20,2001-09-28,0.6545275449752808,9-2001
21,2001-10-31,0.646284282207489,10-2001
22,2001-11-30,0.9479929804801941,11-2001
23,2001-12-31,1.0732930898666382,12-2001
24,2002-01-31,1.182106375694275,1-2002
25,2002-02-28,1.3519209623336792,2-2002
26,2002-03-29,1.238161325454712,3-2002
27,2002-04-30,1.3189469575881958,4-2002
28,2002-05-31,1.2612435817718506,5-2002
29,2002-06-28,1.1211055517196655,6-2002
30,2002-07-31,0.8655589818954468,7-2002
31,2002-08-30,0.9430474042892456,8-2002
32,2002-09-30,0.7353131175041199,9-2002
33,2002-10-31,0.8803969621658325,10-2002
34,2002-11-29,1.0073455572128296,11-2002
35,2002-12-31,1.0815362930297852,12-2002
36,2003-01-31,1.2200261354446411,1-2003
37,2003-02-28,1.2480536699295044,2-2003
38,2003-03-31,1.5101945400238037,3-2003
39,2003-04-30,1.7673894166946411,4-2003
40,2003-05-30,1.7954174280166626,5-2003
41,2003-06-30,2.1680197715759277,6-2003
42,2003-07-31,2.5059995651245117,7-2003
43,2003-08-29,2.802762985229492,8-2003
44,2003-09-30,3.2149343490600586,9-2003
45,2003-10-31,3.782081127166748,10-2003
46,2003-11-28,4.599828243255615,11-2003
47,2003-12-31,5.597283840179443,12-2003
48,2004-01-30,5.071353435516357,1-2004
49,2004-02-27,5.481875419616699,2-2004
50,2004-03-31,6.512303352355957,3-2004
51,2004-04-30,4.781184673309326,4-2004
52,2004-05-31,4.888350009918213,5-2004
53,2004-06-30,5.308763027191162,6-2004
54,2004-07-30,7.114073276519775,7-2004
55,2004-08-31,7.6334075927734375,8-2004
56,2004-09-30,7.303670883178711,9-2004
57,2004-10-29,7.094289302825928,10-2004
58,2004-11-30,9.059520721435547,11-2004
59,2004-12-31,8.894652366638184,12-2004
60,2005-01-31,8.820462226867676,1-2005
61,2005-02-28,11.359437942504883,2-2005
62,2005-03-31,9.479931831359863,3-2005
63,2005-04-29,8.24342155456543,4-2005
64,2005-05-31,7.4355669021606445,5-2005
65,2005-06-30,6.281486511230469,6-2005
66,2005-07-29,7.051423072814941,7-2005
67,2005-08-31,8.055471420288086,8-2005
68,2005-09-30,8.556673049926758,9-2005
69,2005-10-31,7.4998650550842285,10-2005
70,2005-11-30,8.523695945739746,11-2005
71,2005-12-29,9.166685104370117,12-2005
72,2006-01-31,11.921634674072266,1-2006
73,2006-02-28,11.565520286560059,2-2006
74,2006-03-31,13.230691909790039,3-2006
75,2006-04-28,13.107040405273438,4-2006
76,2006-05-31,12.4475679397583,5-2006
77,2006-06-30,12.802032470703125,6-2006
78,2006-07-31,12.365132331848145,7-2006
79,2006-08-31,11.0824556350708,8-2006
80,2006-09-29,10.716447830200195,9-2006
81,2006-10-31,12.002419471740723,10-2006
82,2006-11-30,12.060127258300781,11-2006
83,2006-12-28,13.2719087600708,12-2006
84,2007-01-31,13.222451210021973,1-2007
85,2007-02-28,14.576020240783691,2-2007
86,2007-03-30,16.450571060180664,3-2007
87,2007-04-30,15.909806251525879,4-2007
88,2007-05-31,17.64092445373535,5-2007
89,2007-06-29,18.135528564453125,6-2007
90,2007-07-31,19.076932907104492,7-2007
91,2007-08-31,19.268173217773438,8-2007
92,2007-09-28,21.103160858154297,9-2007
93,2007-10-31,22.422107696533203,10-2007
94,2007-11-30,22.479814529418945,11-2007
95,2007-12-28,20.264394760131836,12-2007
96,2008-01-31,20.51304054260254,1-2008
97,2008-02-29,24.36699867248535,2-2008
98,2008-03-31,24.61919403076172,3-2008
99,2008-04-30,30.45875358581543,4-2008
100,2008-05-30,33.58869171142578,5-2008
101,2008-06-30,29.64811897277832,6-2008
102,2008-07-31,25.89518928527832,7-2008
103,2008-08-29,21.7825927734375,8-2008
104,2008-09-30,15.426791191101074,9-2008
105,2008-10-31,10.66280460357666,10-2008
106,2008-11-28,8.899632453918457,11-2008
107,2008-12-30,10.406929969787598,12-2008
108,2009-01-30,11.325188636779785,1-2009
109,2009-02-27,10.17540454864502,2-2009
110,2009-03-31,11.256790161132812,3-2009
111,2009-04-30,12.736369132995605,4-2009
112,2009-05-29,15.795496940612793,5-2009
113,2009-06-30,16.639257431030273,6-2009
114,2009-07-31,17.70694923400879,7-2009
115,2009-08-31,17.789520263671875,8-2009
116,2009-09-30,18.757307052612305,9-2009
117,2009-10-30,18.472190856933594,10-2009
118,2009-11-30,20.560348510742188,11-2009
119,2009-12-30,20.097768783569336,12-2009
120,2010-01-29,20.1832218170166,1-2010
121,2010-02-26,20.883121490478516,2-2010
122,2010-03-31,24.857187271118164,3-2010
123,2010-04-30,22.894563674926758,4-2010
124,2010-05-31,18.728580474853516,5-2010
125,2010-06-30,19.63032341003418,6-2010
126,2010-07-30,20.18932342529297,7-2010
127,2010-08-31,17.965557098388672,8-2010
128,2010-09-30,18.524560928344727,9-2010
129,2010-10-29,17.523950576782227,10-2010
130,2010-11-30,15.435601234436035,11-2010
131,2010-12-30,15.97594928741455,12-2010
132,2011-01-31,16.201080322265625,1-2011
133,2011-02-28,15.84253978729248,2-2011
134,2011-03-31,17.188648223876953,3-2011
135,2011-04-29,13.561147689819336,4-2011
136,2011-05-31,12.72144889831543,5-2011
137,2011-06-30,11.503885269165039,6-2011
138,2011-07-29,9.23669719696045,7-2011
139,2011-08-31,10.076395034790039,8-2011
140,2011-09-30,8.833640098571777,9-2011
141,2011-10-31,9.908454895019531,10-2011
142,2011-11-30,8.699288368225098,11-2011
143,2011-12-29,8.522948265075684,12-2011
144,2012-01-31,9.841279029846191,1-2012
145,2012-02-29,9.782500267028809,2-2012
146,2012-03-30,10.149407386779785,3-2012
147,2012-04-30,9.228270530700684,4-2012
148,2012-05-31,7.183177471160889,5-2012
149,2012-06-29,5.340904235839844,6-2012
150,2012-07-31,6.236687660217285,7-2012
151,2012-08-31,6.887399673461914,8-2012
152,2012-09-28,8.552206039428711,9-2012
153,2012-10-31,8.290231704711914,10-2012
154,2012-11-30,10.563498497009277,11-2012
155,2012-12-28,10.81701946258545,12-2012
156,2013-01-31,8.73812484741211,1-2013
157,2013-02-28,8.281781196594238,2-2013
158,2013-03-28,9.093056678771973,3-2013
159,2013-04-30,8.32403564453125,4-2013
160,2013-05-31,7.521209716796875,5-2013
161,2013-06-28,6.32119607925415,6-2013
162,2013-07-31,7.36064338684082,7-2013
163,2013-08-30,8.780377388000488,8-2013
164,2013-09-30,8.890237808227539,9-2013
165,2013-10-31,10.039546012878418,10-2013
166,2013-11-29,10.521242141723633,11-2013
167,2013-12-30,12.008583068847656,12-2013
168,2014-01-31,10.056447982788086,1-2014
169,2014-02-28,8.256429672241211,2-2014
170,2014-03-31,8.645164489746094,3-2014
171,2014-04-30,7.394447326660156,4-2014
172,2014-05-30,6.659228801727295,5-2014
173,2014-06-30,6.405704021453857,6-2014
174,2014-07-31,6.802892208099365,7-2014
175,2014-08-29,6.836695194244385,8-2014
176,2014-09-30,5.383158206939697,9-2014
177,2014-10-31,4.816953659057617,10-2014
178,2014-11-28,4.436668395996094,11-2014
179,2014-12-30,4.267652988433838,12-2014
180,2015-01-30,2.831016778945923,1-2015
181,2015-02-27,3.4901790618896484,2-2015
182,2015-03-31,4.200046062469482,3-2015
183,2015-04-30,5.073073387145996,4-2015
184,2015-05-29,4.333780765533447,5-2015
185,2015-06-30,3.5010154247283936,6-2015
186,2015-07-31,3.3395607471466064,7-2015
187,2015-08-31,2.532287836074829,8-2015
