"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.01.2000","1,09","1,09","1,09","1,09","3,24K","-9,17%"
"12.01.2000","1,15","1,15","1,15","1,15","1,94K","5,50%"
"19.01.2000","1,26","1,27","1,27","1,23","5,40K","9,57%"
"01.02.2000","1,34","1,34","1,34","1,34","1,80K","6,35%"
"02.02.2000","1,27","1,27","1,27","1,27","1,80K","-5,22%"
"08.02.2000","1,38","1,38","1,38","1,38","1,80K","8,66%"
"11.02.2000","1,38","1,38","1,38","1,38","1,80K","0,00%"
"15.02.2000","1,34","1,34","1,34","1,34","1,80K","-2,90%"
"16.02.2000","1,34","1,34","1,34","1,34","5,40K","0,00%"
"01.03.2000","1,23","1,23","1,23","1,23","9,00K","-8,21%"
"02.03.2000","1,27","1,27","1,27","1,27","1,80K","3,25%"
"09.03.2000","1,23","1,23","1,23","1,23","1,80K","-3,15%"
"29.03.2000","1,16","1,23","1,27","1,16","115,85K","-5,69%"
"25.04.2000","1,02","1,02","1,02","1,02","4,63K","-12,07%"
"26.04.2000","1,05","1,05","1,05","1,05","5,18K","2,94%"
"28.04.2000","1,27","1,27","1,27","1,27","1,80K","20,95%"
"18.05.2000","1,02","1,02","1,02","1,02","0,90K","-19,69%"
"19.05.2000","1,02","1,11","1,11","1,02","20,69K","0,00%"
"22.05.2000","1,02","1,02","1,02","1,02","13,71K","0,00%"
"31.05.2000","1,05","1,05","1,05","1,05","4,63K","2,94%"
"01.06.2000","1,09","1,09","1,09","1,09","7,20K","3,81%"
"12.06.2000","1,09","1,09","1,09","1,09","2,67K","0,00%"
"13.06.2000","1,02","1,02","1,02","1,02","9,54K","-6,42%"
"14.06.2000","0,98","1,02","1,02","0,98","2,70K","-3,92%"
"15.06.2000","0,98","0,98","0,98","0,98","0,90K","0,00%"
"16.06.2000","0,98","0,98","0,98","0,98","2,70K","0,00%"
"20.06.2000","0,94","0,94","0,94","0,94","9,25K","-4,08%"
"21.06.2000","0,98","1,04","1,04","0,94","10,84K","4,26%"
"23.06.2000","0,87","0,98","0,98","0,87","12,95K","-11,22%"
"26.06.2000","0,93","0,89","0,93","0,87","3,56M","6,90%"
"27.06.2000","0,94","0,93","0,94","0,92","46,80K","1,08%"
"28.06.2000","0,98","0,98","0,98","0,98","4,50K","4,26%"
"29.06.2000","0,94","1,02","1,02","0,94","2,96K","-4,08%"
"04.07.2000","1,02","1,01","1,02","1,01","54,55K","8,51%"
"05.07.2000","1,09","1,05","1,09","1,05","15,74K","6,86%"
"06.07.2000","1,22","1,09","1,22","1,09","1,80K","11,93%"
"07.07.2000","1,15","1,15","1,15","1,15","2,19K","-5,74%"
"10.07.2000","1,16","1,16","1,16","1,16","20,70K","0,87%"
"11.07.2000","1,16","1,16","1,16","1,16","3,79K","0,00%"
"12.07.2000","1,12","1,12","1,12","1,12","13,67K","-3,45%"
"13.07.2000","1,10","1,10","1,10","1,09","9,90K","-1,79%"
"14.07.2000","1,09","1,09","1,09","1,09","27,90K","-0,91%"
"17.07.2000","1,10","1,10","1,10","1,10","12,65K","0,92%"
"19.07.2000","1,09","1,10","1,10","1,09","2,70K","-0,91%"
"20.07.2000","1,12","1,12","1,12","1,12","1,80K","2,75%"
"21.07.2000","1,09","1,09","1,09","1,09","17,10K","-2,68%"
"25.07.2000","1,08","1,08","1,08","1,08","1,98K","-0,92%"
"27.07.2000","1,05","1,05","1,05","1,05","0,90K","-2,78%"
