"Date","Price","Open","High","Low","Vol.","Change %"
"10/17/2022","7.30","7.45","7.46","7.22","15.05M","-1.22%"
"10/14/2022","7.39","7.70","7.75","7.36","11.19M","-3.78%"
"10/13/2022","7.68","7.62","7.76","7.54","11.80M","-0.78%"
"10/11/2022","7.74","7.60","7.80","7.54","14.78M","1.18%"
"10/10/2022","7.65","7.77","7.82","7.61","11.58M","-0.39%"
"10/07/2022","7.68","7.84","7.94","7.65","22.80M","-2.54%"
"10/06/2022","7.88","7.89","7.92","7.69","19.83M","-0.13%"
"10/05/2022","7.89","7.90","7.98","7.61","18.84M","-0.13%"
"10/04/2022","7.90","7.85","8.11","7.74","30.60M","2.33%"
"10/03/2022","7.72","7.78","7.80","7.64","16.21M","2.66%"
"09/30/2022","7.52","7.02","7.63","6.94","27.80M","7.43%"
"09/29/2022","7.00","7.10","7.18","6.89","24.91M","-2.64%"
"09/28/2022","7.19","7.21","7.29","7.13","13.73M","-0.14%"
"09/27/2022","7.20","7.35","7.42","7.18","15.36M","-0.83%"
"09/26/2022","7.26","7.55","7.56","7.26","20.86M","-4.60%"
"09/23/2022","7.61","7.66","7.67","7.53","19.69M","-2.31%"
"09/22/2022","7.79","7.91","8.02","7.74","33.00M","0.78%"
"09/21/2022","7.73","7.83","7.91","7.72","22.31M","-1.28%"
"09/20/2022","7.83","7.97","8.05","7.80","18.39M","-2.73%"
"09/19/2022","8.05","7.60","8.09","7.57","36.51M","5.23%"
"09/16/2022","7.65","7.70","7.75","7.58","35.23M","-1.67%"
"09/15/2022","7.78","7.98","8.01","7.75","24.38M","-1.89%"
"09/14/2022","7.93","8.15","8.26","7.93","29.54M","-3.17%"
"09/13/2022","8.19","8.41","8.50","8.15","19.78M","-4.10%"
"09/12/2022","8.54","8.50","8.73","8.42","18.52M","1.67%"
"09/09/2022","8.40","8.20","8.47","8.20","24.42M","3.83%"
"09/08/2022","8.09","8.20","8.22","8.00","25.94M","-0.37%"
"09/06/2022","8.12","8.26","8.34","8.07","11.58M","-2.52%"
"09/05/2022","8.33","8.38","8.58","8.30","13.65M","0.73%"
"09/02/2022","8.27","8.21","8.47","8.13","32.28M","1.35%"
"09/01/2022","8.16","7.99","8.18","7.88","23.22M","1.75%"
"08/31/2022","8.02","8.11","8.20","8.01","18.00M","-0.37%"
"08/30/2022","8.05","8.19","8.42","8.05","23.17M","-2.07%"
"08/29/2022","8.22","8.52","8.63","8.22","33.19M","-5.19%"
"08/26/2022","8.67","8.80","8.98","8.66","54.08M","-6.67%"
"08/25/2022","9.29","9.46","9.53","9.23","15.98M","-0.75%"
"08/24/2022","9.36","9.66","9.77","9.26","23.33M","-3.60%"
"08/23/2022","9.71","8.92","9.71","8.88","26.23M","9.72%"
"08/22/2022","8.85","8.92","9.07","8.84","13.93M","-2.21%"
"08/19/2022","9.05","9.08","9.08","8.86","18.99M","-1.52%"
"08/18/2022","9.19","9.39","9.52","9.14","15.74M","-1.92%"
"08/17/2022","9.37","9.16","9.41","9.08","14.49M","1.30%"
"08/16/2022","9.25","9.26","9.52","9.17","13.86M","-0.32%"
"08/15/2022","9.28","9.33","9.42","9.08","20.70M","-2.42%"
"08/12/2022","9.51","9.34","9.52","9.30","10.32M","1.71%"
"08/11/2022","9.35","9.21","9.57","9.13","22.09M","2.63%"
"08/10/2022","9.11","9.06","9.16","8.90","13.50M","1.56%"
"08/09/2022","8.97","8.79","8.98","8.71","10.24M","2.05%"
"08/08/2022","8.79","8.85","8.94","8.69","12.76M","0.34%"
"08/05/2022","8.76","8.90","9.06","8.71","13.17M","-1.79%"
"08/04/2022","8.92","8.43","8.99","8.30","22.91M","5.69%"
"08/03/2022","8.44","8.44","8.46","8.21","19.16M","0.00%"
