"Date","Price","Open","High","Low","Vol.","Change %"
"12/21/2000","1.63","1.71","1.72","1.63","1.30M","-1.81%"
"12/22/2000","1.62","1.68","1.68","1.61","913.67K","-0.61%"
"12/26/2000","1.62","1.63","1.68","1.60","776.43K","0.00%"
"12/27/2000","1.73","1.63","1.75","1.63","806.35K","6.79%"
"12/28/2000","1.67","1.72","1.75","1.67","1.27M","-3.47%"
"01/02/2001","1.71","1.66","1.73","1.66","713.27K","2.40%"
"01/03/2001","1.95","1.71","2.02","1.71","2.02M","14.04%"
"01/04/2001","1.95","1.88","2.00","1.88","2.46M","0.00%"
"01/05/2001","1.89","1.96","2.02","1.84","1.06M","-3.08%"
"01/08/2001","1.87","1.90","1.90","1.85","1.88M","-1.06%"
"01/09/2001","1.94","1.89","1.95","1.89","2.42M","3.74%"
"01/10/2001","1.94","1.91","2.00","1.91","2.59M","0.00%"
"01/11/2001","1.93","1.95","2.00","1.91","1.18M","-0.52%"
"01/12/2001","1.94","1.94","1.97","1.94","514.90K","0.52%"
"01/15/2001","1.97","1.94","1.98","1.94","770.53K","1.55%"
"01/16/2001","2.01","1.97","2.01","1.96","521.60K","2.03%"
"01/17/2001","2.05","2.02","2.08","2.00","1.78M","1.99%"
"01/18/2001","2.04","2.06","2.15","2.04","1.91M","-0.49%"
"01/19/2001","2.07","2.05","2.13","2.04","1.30M","1.47%"
"01/22/2001","2.08","2.07","2.09","2.06","1.41M","0.48%"
"01/23/2001","2.13","2.08","2.14","2.08","5.24M","2.40%"
"01/24/2001","2.17","2.12","2.19","2.10","1.89M","1.88%"
"01/26/2001","2.21","2.17","2.21","2.16","3.45M","1.84%"
"01/29/2001","2.18","2.25","2.25","2.16","1.74M","-1.36%"
"01/30/2001","2.17","2.17","2.18","2.16","1.54M","-0.46%"
"01/31/2001","2.27","2.17","2.29","2.17","3.06M","4.61%"
"02/01/2001","2.20","2.20","2.25","2.19","6.57M","-3.08%"
"02/02/2001","2.14","2.21","2.21","2.13","4.44M","-2.73%"
"02/05/2001","2.10","2.14","2.14","2.10","1.98M","-1.87%"
"02/06/2001","2.21","2.13","2.21","2.11","2.61M","5.24%"
