"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2000","1.79","1.79","1.81","1.79","439.24K","0.00%"
"01/04/2000","1.75","1.77","1.78","1.75","586.80K","-2.23%"
"01/05/2000","1.75","1.73","1.75","1.73","1.41M","0.00%"
"01/06/2000","1.75","1.75","1.79","1.75","599.36K","0.00%"
"01/07/2000","1.81","1.77","1.82","1.77","4.02M","3.43%"
"01/10/2000","1.96","1.92","1.96","1.92","2.24M","8.29%"
"01/11/2000","1.97","1.96","1.97","1.95","247.46K","0.51%"
"01/12/2000","1.99","1.97","2.00","1.97","3.80M","1.02%"
"01/13/2000","2.05","2.05","2.05","2.05","90.00K","3.02%"
"01/14/2000","2.09","2.06","2.09","2.06","2.61M","1.95%"
"01/17/2000","2.13","2.09","2.13","2.09","174.67K","1.91%"
"01/18/2000","2.07","2.11","2.11","2.06","2.80M","-2.82%"
"01/19/2000","2.06","2.07","2.07","2.05","1.41M","-0.48%"
"01/20/2000","2.05","2.05","2.05","2.05","564.12K","-0.49%"
"01/21/2000","2.00","2.05","2.05","2.00","110.81K","-2.44%"
"01/24/2000","2.05","2.00","2.07","2.00","540.65K","2.50%"
"01/26/2000","2.03","2.03","2.03","2.03","149.04K","-0.98%"
"01/27/2000","2.05","2.07","2.07","2.05","517.39K","0.99%"
"01/28/2000","2.05","2.05","2.05","2.05","159.01K","0.00%"
"02/01/2000","2.00","2.00","2.00","2.00","111.60K","-2.44%"
"02/02/2000","1.88","2.02","2.02","1.86","1.17M","-6.00%"
"02/03/2000","1.92","1.90","1.96","1.90","3.29M","2.13%"
"02/04/2000","1.99","1.92","1.99","1.92","260.71K","3.65%"
"02/07/2000","2.09","2.00","2.09","2.00","64.84K","5.03%"
"02/08/2000","2.21","2.09","2.21","2.09","784.51K","5.74%"
"02/09/2000","2.17","2.18","2.23","2.17","4.56M","-1.81%"
"02/10/2000","2.05","2.17","2.17","2.05","2.98M","-5.53%"
"02/11/2000","1.94","2.05","2.05","1.94","33.48K","-5.37%"
"02/14/2000","1.91","1.94","1.94","1.91","210.71K","-1.55%"
"02/15/2000","1.96","1.91","1.96","1.83","121.03K","2.62%"
"02/16/2000","1.96","1.96","1.96","1.96","352.80K","0.00%"
"02/17/2000","1.92","1.92","1.92","1.92","7.20K","-2.04%"
"02/18/2000","1.92","1.92","1.92","1.92","21.60K","0.00%"
"02/21/2000","1.92","1.92","1.92","1.92","39.60K","0.00%"
"02/22/2000","1.88","1.88","1.88","1.88","316.80K","-2.08%"
"02/23/2000","1.92","1.96","1.96","1.88","594.00K","2.13%"
"02/24/2000","1.90","1.92","1.92","1.90","255.60K","-1.04%"
"02/25/2000","1.88","1.88","1.88","1.88","28.80K","-1.05%"
"02/28/2000","1.83","1.86","1.86","1.83","61.20K","-2.66%"
"02/29/2000","1.74","1.83","1.83","1.74","494.24K","-4.92%"
"03/01/2000","1.71","1.74","1.75","1.71","1.32M","-1.72%"
"03/02/2000","1.70","1.71","1.71","1.70","468.36K","-0.58%"
"03/03/2000","1.68","1.71","1.71","1.68","429.05K","-1.18%"
"03/08/2000","1.69","1.70","1.70","1.68","118.80K","0.60%"
"03/09/2000","1.66","1.66","1.68","1.66","253.04K","-1.78%"
"03/10/2000","1.62","1.66","1.66","1.62","170.93K","-2.41%"
"03/13/2000","1.58","1.62","1.62","1.58","111.60K","-2.47%"
"03/14/2000","1.53","1.60","1.60","1.53","1.74M","-3.16%"
"03/15/2000","1.54","1.54","1.55","1.53","1.59M","0.65%"
"03/16/2000","1.56","1.54","1.56","1.54","10.31M","1.30%"
"03/17/2000","1.55","1.58","1.58","1.55","4.69M","-0.64%"
"03/20/2000","1.45","1.55","1.55","1.41","786.10K","-6.45%"
"03/21/2000","1.50","1.47","1.50","1.47","65.59K","3.45%"
"03/22/2000","1.52","1.51","1.56","1.51","1.52M","1.33%"
"03/23/2000","1.56","1.51","1.57","1.51","513.86K","2.63%"
"03/24/2000","1.64","1.58","1.64","1.57","1.03M","5.13%"
"03/27/2000","1.68","1.66","1.68","1.64","947.16K","2.44%"
"03/28/2000","1.63","1.66","1.71","1.60","927.72K","-2.98%"
"03/29/2000","1.66","1.66","1.67","1.60","583.99K","1.84%"
"03/30/2000","1.66","1.67","1.68","1.66","21.60K","0.00%"
"03/31/2000","1.71","1.64","1.71","1.63","753.01K","3.01%"
"04/03/2000","1.75","1.70","1.75","1.68","445.21K","2.34%"
"04/04/2000","1.66","1.71","1.73","1.62","780.62K","-5.14%"
"04/05/2000","1.73","1.70","1.74","1.70","432.04K","4.22%"
"04/06/2000","1.75","1.75","1.75","1.71","2.65M","1.16%"
"04/07/2000","1.73","1.75","1.75","1.73","90.00K","-1.14%"
"04/10/2000","1.70","1.71","1.72","1.70","1.07M","-1.73%"
"04/11/2000","1.70","1.66","1.71","1.66","1.35M","0.00%"
"04/13/2000","1.66","1.66","1.66","1.66","72.00K","-2.35%"
"04/14/2000","1.58","1.62","1.62","1.57","1.12M","-4.82%"
"04/17/2000","1.54","1.58","1.58","1.51","1.05M","-2.53%"
"04/18/2000","1.54","1.49","1.56","1.49","482.47K","0.00%"
"04/19/2000","1.50","1.54","1.55","1.50","703.62K","-2.60%"
"04/20/2000","1.57","1.58","1.58","1.56","583.20K","4.67%"
"04/24/2000","1.56","1.56","1.56","1.49","4.68M","-0.64%"
"04/25/2000","1.62","1.62","1.62","1.62","70.45K","3.85%"
"04/26/2000","1.70","1.62","1.70","1.62","1.65M","4.94%"
"04/27/2000","1.65","1.68","1.68","1.65","1.14M","-2.94%"
"04/28/2000","1.71","1.68","1.73","1.68","7.30M","3.64%"
"05/02/2000","1.71","1.68","1.71","1.68","65.66K","0.00%"
"05/03/2000","1.70","1.71","1.73","1.69","1.55M","-0.58%"
"05/04/2000","1.68","1.70","1.70","1.68","1.37M","-1.18%"
"05/05/2000","1.71","1.68","1.71","1.68","1.32M","1.79%"
"05/08/2000","1.68","1.71","1.71","1.68","590.87K","-1.75%"
"05/09/2000","1.66","1.66","1.66","1.66","90.00K","-1.19%"
"05/10/2000","1.71","1.71","1.71","1.66","6.35M","3.01%"
"05/11/2000","1.65","1.66","1.66","1.65","568.80K","-3.51%"
"05/12/2000","1.63","1.64","1.66","1.63","928.80K","-1.21%"
"05/15/2000","1.66","1.64","1.66","1.63","1.60M","1.84%"
"05/16/2000","1.70","1.68","1.70","1.68","279.72K","2.41%"
"05/17/2000","1.73","1.66","1.73","1.66","1.00M","1.76%"
"05/18/2000","1.77","1.73","1.77","1.73","72.00K","2.31%"
"05/19/2000","1.81","1.73","1.81","1.71","334.73K","2.26%"
"05/22/2000","1.77","1.77","1.77","1.71","425.77K","-2.21%"
"05/23/2000","1.68","1.75","1.75","1.68","209.52K","-5.08%"
"05/24/2000","1.66","1.66","1.66","1.62","1.79M","-1.19%"
"05/25/2000","1.66","1.71","1.71","1.66","1.75M","0.00%"
"05/26/2000","1.69","1.66","1.69","1.66","6.05M","1.81%"
"05/29/2000","1.68","1.71","1.71","1.68","141.16K","-0.59%"
"05/30/2000","1.77","1.75","1.77","1.75","348.55K","5.36%"
"05/31/2000","1.75","1.75","1.77","1.75","1.17M","-1.13%"
"06/01/2000","1.80","1.75","1.81","1.75","133.20K","2.86%"
"06/02/2000","1.79","1.80","1.80","1.79","452.38K","-0.56%"
"06/05/2000","1.83","1.79","1.83","1.77","2.44M","2.23%"
"06/06/2000","1.79","1.79","1.79","1.77","111.60K","-2.19%"
"06/07/2000","1.81","1.79","1.81","1.75","2.46M","1.12%"
"06/08/2000","1.83","1.83","1.83","1.81","590.40K","1.10%"
"06/09/2000","1.88","1.81","1.88","1.81","43.56K","2.73%"
"06/12/2000","1.75","1.82","1.82","1.75","4.60M","-6.91%"
"06/13/2000","1.71","1.75","1.75","1.71","388.80K","-2.29%"
"06/14/2000","1.75","1.75","1.75","1.75","216.25K","2.34%"
"06/15/2000","1.73","1.73","1.74","1.73","3.07M","-1.14%"
"06/16/2000","1.78","1.73","1.79","1.73","3.10M","2.89%"
"06/19/2000","1.83","1.79","1.83","1.79","1.08M","2.81%"
"06/20/2000","1.88","1.90","1.90","1.83","159.41K","2.73%"
"06/21/2000","1.92","1.88","1.92","1.88","1.04M","2.13%"
"06/23/2000","1.92","1.92","1.93","1.92","1.83M","0.00%"
"06/26/2000","1.92","1.92","1.93","1.92","412.13K","0.00%"
"06/27/2000","1.92","1.94","1.94","1.92","205.20K","0.00%"
"06/28/2000","1.96","1.92","1.96","1.92","396.00K","2.08%"
