Date,Price,Open,High,Low,Vol.,Change %
12/21/2000,1.63,1.71,1.72,1.63,1.30M,-1.81%
12/22/2000,1.62,1.68,1.68,1.61,913.67K,-0.61%
12/26/2000,1.62,1.63,1.68,1.6,776.43K,0.00%
12/27/2000,1.73,1.63,1.75,1.63,806.35K,6.79%
12/28/2000,1.67,1.72,1.75,1.67,1.27M,-3.47%
1/2/2001,1.71,1.66,1.73,1.66,713.27K,2.40%
1/3/2001,1.95,1.71,2.02,1.71,2.02M,14.04%
1/4/2001,1.95,1.88,2,1.88,2.46M,0.00%
1/5/2001,1.89,1.96,2.02,1.84,1.06M,-3.08%
1/8/2001,1.87,1.9,1.9,1.85,1.88M,-1.06%
1/9/2001,1.94,1.89,1.95,1.89,2.42M,3.74%
1/10/2001,1.94,1.91,2,1.91,2.59M,0.00%
1/11/2001,1.93,1.95,2,1.91,1.18M,-0.52%
1/12/2001,1.94,1.94,1.97,1.94,514.90K,0.52%
1/15/2001,1.97,1.94,1.98,1.94,770.53K,1.55%
1/16/2001,2.01,1.97,2.01,1.96,521.60K,2.03%
1/17/2001,2.05,2.02,2.08,2,1.78M,1.99%
1/18/2001,2.04,2.06,2.15,2.04,1.91M,-0.49%
1/19/2001,2.07,2.05,2.13,2.04,1.30M,1.47%
1/22/2001,2.08,2.07,2.09,2.06,1.41M,0.48%
1/23/2001,2.13,2.08,2.14,2.08,5.24M,2.40%
1/24/2001,2.17,2.12,2.19,2.1,1.89M,1.88%
1/26/2001,2.21,2.17,2.21,2.16,3.45M,1.84%
1/29/2001,2.18,2.25,2.25,2.16,1.74M,-1.36%
1/30/2001,2.17,2.17,2.18,2.16,1.54M,-0.46%
1/31/2001,2.27,2.17,2.29,2.17,3.06M,4.61%
2/1/2001,2.2,2.2,2.25,2.19,6.57M,-3.08%
2/2/2001,2.14,2.21,2.21,2.13,4.44M,-2.73%
2/5/2001,2.1,2.14,2.14,2.1,1.98M,-1.87%
2/6/2001,2.21,2.13,2.21,2.11,2.61M,5.24%
2/7/2001,2.16,2.17,2.17,2.13,1.57M,-2.26%
2/8/2001,2.23,2.19,2.25,2.17,966.20K,3.24%
