,Data,Cotacoes,Ref
0,2000-01-31,0.21944433450698853,1-2000
1,2000-02-29,0.23198401927947998,2-2000
2,2000-03-31,0.20063486695289612,3-2000
3,2000-04-28,0.21944433450698853,4-2000
4,2000-05-31,0.9807188510894775,5-2000
5,2000-06-30,0.8785885572433472,6-2000
6,2000-07-31,1.014535903930664,7-2000
7,2000-08-31,1.1159906387329102,8-2000
8,2000-09-29,1.0889358520507812,9-2000
9,2000-10-31,1.014535903930664,10-2000
10,2000-11-30,0.8488287329673767,11-2000
11,2000-12-29,0.8792651295661926,12-2000
12,2001-01-31,1.0821722745895386,1-2001
13,2001-02-28,1.0821722745895386,2-2001
14,2001-03-30,1.0821722745895386,3-2001
15,2001-04-30,1.1159906387329102,4-2001
16,2001-05-31,1.1159906387329102,5-2001
17,2001-06-29,1.014535903930664,6-2001
18,2001-07-31,1.0821722745895386,7-2001
19,2001-08-31,1.0821722745895386,8-2001
20,2001-09-28,0.8258330225944519,9-2001
21,2001-10-31,0.9469011425971985,10-2001
22,2001-11-30,1.2174440622329712,11-2001
23,2001-12-31,1.2512624263763428,12-2001
24,2002-01-31,1.2377349138259888,1-2002
25,2002-02-28,1.5150415897369385,2-2002
26,2002-03-29,1.555622935295105,3-2002
27,2002-04-30,1.6908944845199585,4-2002
28,2002-05-31,1.893802285194397,5-2002
29,2002-06-28,1.6908944845199585,6-2002
30,2002-07-31,1.6706042289733887,7-2002
31,2002-08-30,1.6908944845199585,8-2002
32,2002-09-30,1.6232584714889526,9-2002
33,2002-10-31,1.606350064277649,10-2002
34,2002-11-29,1.5623865127563477,11-2002
35,2002-12-31,1.7991119623184204,12-2002
36,2003-01-31,1.7247129678726196,1-2003
37,2003-02-28,1.7585302591323853,2-2003
38,2003-03-31,1.8254890441894531,3-2003
39,2003-04-30,1.9546740055084229,4-2003
40,2003-05-30,1.6371245384216309,5-2003
41,2003-06-30,1.7416211366653442,6-2003
42,2003-07-31,1.8948845863342285,7-2003
43,2003-08-29,2.368605136871338,8-2003
44,2003-09-30,2.4306068420410156,9-2003
45,2003-10-31,2.4661362171173096,10-2003
46,2003-11-28,2.5358009338378906,11-2003
47,2003-12-31,3.5947072505950928,12-2003
48,2004-01-30,3.2742490768432617,1-2004
49,2004-02-27,3.2045843601226807,2-2004
50,2004-03-31,3.413578987121582,3-2004
51,2004-04-30,3.622573137283325,4-2004
52,2004-05-31,3.3439128398895264,5-2004
53,2004-06-30,3.831566095352173,6-2004
54,2004-07-30,4.668939590454102,7-2004
55,2004-08-31,6.170914173126221,8-2004
56,2004-09-30,5.7821831703186035,9-2004
57,2004-10-29,5.295921325683594,10-2004
58,2004-11-30,6.034371852874756,11-2004
59,2004-12-31,5.7821831703186035,12-2004
60,2005-01-31,5.327970027923584,1-2005
61,2005-02-28,5.712519645690918,2-2005
62,2005-03-31,5.169133186340332,3-2005
63,2005-04-29,4.409785270690918,4-2005
64,2005-05-31,4.263490200042725,5-2005
65,2005-06-30,3.927009105682373,6-2005
66,2005-07-29,4.117194175720215,7-2005
67,2005-08-31,4.56862211227417,8-2005
68,2005-09-30,5.475657939910889,9-2005
69,2005-10-31,4.900922775268555,10-2005
70,2005-11-30,5.452669620513916,11-2005
71,2005-12-29,6.202959060668945,12-2005
72,2006-01-31,7.856107234954834,1-2006
73,2006-02-28,8.10481071472168,2-2006
74,2006-03-31,7.941795349121094,3-2006
75,2006-04-28,8.715073585510254,4-2006
76,2006-05-31,8.335749626159668,5-2006
77,2006-06-30,8.103765487670898,6-2006
78,2006-07-31,8.680588722229004,7-2006
79,2006-08-31,8.012852668762207,8-2006
80,2006-09-29,7.711901664733887,9-2006
81,2006-10-31,8.338886260986328,10-2006
82,2006-11-30,8.874956130981445,11-2006
83,2006-12-28,9.76526927947998,12-2006
84,2007-01-31,9.498805046081543,1-2007
85,2007-02-28,9.54896068572998,2-2007
86,2007-03-30,10.157140731811523,3-2007
87,2007-04-30,10.784125328063965,4-2007
88,2007-05-31,11.436182022094727,5-2007
89,2007-06-29,12.790467262268066,6-2007
90,2007-07-31,12.382926940917969,7-2007
91,2007-08-31,12.41114330291748,8-2007
92,2007-09-28,12.564757347106934,9-2007
93,2007-10-31,13.91590690612793,10-2007
94,2007-11-30,12.790467262268066,11-2007
95,2007-12-28,13.323404312133789,12-2007
96,2008-01-31,11.818648338317871,1-2008
97,2008-02-29,14.577376365661621,2-2008
98,2008-03-31,14.157296180725098,3-2008
99,2008-04-30,16.756145477294922,4-2008
100,2008-05-30,20.819005966186523,5-2008
101,2008-06-30,19.56816864013672,6-2008
102,2008-07-31,17.242055892944336,7-2008
103,2008-08-29,15.963005065917969,8-2008
104,2008-09-30,11.379752159118652,9-2008
105,2008-10-31,7.4611077308654785,10-2008
106,2008-11-28,7.735250473022461,11-2008
107,2008-12-30,7.671586990356445,12-2008
108,2009-01-30,7.576091766357422,1-2009
109,2009-02-27,6.360093593597412,2-2009
110,2009-03-31,6.55298376083374,3-2009
111,2009-04-30,7.914726257324219,4-2009
112,2009-05-29,10.235442161560059,5-2009
113,2009-06-30,10.152328491210938,6-2009
