,Data,Cotacoes,Ref
0,2000-01-31,1.6671359539031982,1-2000
1,2000-02-29,1.5666803121566772,2-2000
2,2000-03-31,1.754767656326294,3-2000
3,2000-04-28,1.4534008502960205,4-2000
4,2000-05-31,1.7098828554153442,5-2000
5,2000-06-30,1.6115642786026,6-2000
6,2000-07-31,1.6243889331817627,7-2000
7,2000-08-31,1.8830087184906006,8-2000
8,2000-09-29,1.6564490795135498,9-2000
9,2000-10-31,1.5111091136932373,10-2000
10,2000-11-30,1.4683623313903809,11-2000
11,2000-12-28,1.769729495048523,12-2000
12,2001-01-31,2.1095683574676514,1-2001
13,2001-02-28,1.9813270568847656,2-2001
14,2001-03-30,1.3358460664749146,3-2001
15,2001-04-30,1.472636342048645,4-2001
16,2001-05-31,1.3700441122055054,5-2001
17,2001-06-29,1.2247040271759033,6-2001
18,2001-07-31,1.1114237308502197,7-2001
19,2001-08-31,1.0152426958084106,8-2001
20,2001-09-28,0.7694476842880249,9-2001
21,2001-10-31,0.7972325682640076,10-2001
22,2001-11-30,0.9981440901756287,11-2001
23,2001-12-28,1.0408910512924194,12-2001
24,2002-01-31,1.0622648000717163,1-2002
25,2002-02-27,1.1798195838928223,2-2002
26,2002-03-28,1.1947803497314453,3-2002
27,2002-04-30,1.331571102142334,4-2002
28,2002-05-31,1.3764560222625732,5-2002
29,2002-06-28,1.2589012384414673,6-2002
30,2002-07-31,1.211880087852478,7-2002
31,2002-08-30,1.154171347618103,8-2002
32,2002-09-30,0.8656283617019653,9-2002
33,2002-10-31,1.0537153482437134,10-2002
34,2002-11-29,1.382867693901062,11-2002
35,2002-12-30,1.4576748609542847,12-2002
36,2003-01-31,1.6457624435424805,1-2003
37,2003-02-28,1.7675914764404297,2-2003
38,2003-03-31,1.8530861139297485,3-2003
39,2003-04-30,1.643625020980835,4-2003
40,2003-05-30,1.6308009624481201,5-2003
41,2003-06-30,1.9877392053604126,6-2003
42,2003-07-31,2.308342695236206,7-2003
43,2003-08-29,2.836268663406372,8-2003
44,2003-09-30,2.9409987926483154,9-2003
45,2003-10-31,3.3620572090148926,10-2003
46,2003-11-28,3.819451332092285,11-2003
47,2003-12-30,4.464931488037109,12-2003
48,2004-01-30,4.659431457519531,1-2004
49,2004-02-27,5.300637245178223,2-2004
50,2004-03-31,5.6682634353637695,3-2004
51,2004-04-30,3.975478410720825,4-2004
52,2004-05-31,3.120537042617798,5-2004
53,2004-06-30,3.238518238067627,6-2004
54,2004-07-30,3.76088809967041,7-2004
55,2004-08-31,3.877159357070923,8-2004
56,2004-09-30,3.79594087600708,9-2004
57,2004-10-29,3.6027238368988037,10-2004
58,2004-11-30,4.428597927093506,11-2004
59,2004-12-30,4.342248439788818,12-2004
60,2005-01-31,4.479894638061523,1-2005
61,2005-02-28,5.745208263397217,2-2005
62,2005-03-31,5.411780834197998,3-2005
63,2005-04-29,4.716712951660156,4-2005
64,2005-05-31,3.650599956512451,5-2005
65,2005-06-30,3.2402279376983643,6-2005
66,2005-07-29,3.8301379680633545,7-2005
67,2005-08-31,3.960944414138794,8-2005
68,2005-09-30,4.426032066345215,9-2005
69,2005-10-31,3.697622060775757,10-2005
70,2005-11-30,3.932730197906494,11-2005
71,2005-12-29,4.300356864929199,12-2005
72,2006-01-31,5.556264877319336,1-2006
73,2006-02-27,5.493000507354736,2-2006
74,2006-03-31,5.817876815795898,3-2006
75,2006-04-28,6.266721248626709,4-2006
76,2006-05-31,5.830699920654297,5-2006
77,2006-06-30,5.941842555999756,6-2006
78,2006-07-31,5.958942890167236,7-2006
79,2006-08-31,5.35193395614624,8-2006
80,2006-09-29,5.300637245178223,9-2006
81,2006-10-31,5.685362339019775,10-2006
82,2006-11-30,5.5314717292785645,11-2006
83,2006-12-28,5.514373779296875,12-2006
84,2007-01-31,5.889693737030029,1-2007
85,2007-02-28,6.335118770599365,2-2007
86,2007-03-30,7.596153259277344,3-2007
87,2007-04-30,7.608980178833008,4-2007
88,2007-05-31,8.473326683044434,5-2007
89,2007-06-29,8.532317161560059,6-2007
90,2007-07-31,9.294069290161133,7-2007
91,2007-08-31,9.518918991088867,8-2007
92,2007-09-28,11.015924453735352,9-2007
93,2007-10-31,11.84008502960205,10-2007
94,2007-11-30,11.669953346252441,11-2007
95,2007-12-28,13.473878860473633,12-2007
96,2008-01-31,14.106539726257324,1-2008
97,2008-02-29,16.184040069580078,2-2008
98,2008-03-31,16.045541763305664,3-2008
99,2008-04-30,19.099720001220703,4-2008
100,2008-05-30,20.80504608154297,5-2008
101,2008-06-30,18.753408432006836,6-2008
102,2008-07-31,16.08259391784668,7-2008
103,2008-08-29,14.88078498840332,8-2008
104,2008-09-30,10.732599258422852,9-2008
105,2008-10-31,7.5615458488464355,10-2008
106,2008-11-28,6.81882381439209,11-2008
107,2008-12-30,7.6379241943359375,12-2008
108,2009-01-30,9.265593528747559,1-2009
109,2009-02-27,8.25685977935791,2-2009
110,2009-03-31,9.337939262390137,3-2009
111,2009-04-30,10.93135929107666,4-2009
112,2009-05-29,13.282093048095703,5-2009
113,2009-06-30,11.945669174194336,6-2009
114,2009-07-31,13.161596298217773,7-2009
115,2009-08-31,13.424497604370117,8-2009
116,2009-09-30,14.892379760742188,9-2009
117,2009-10-30,15.965895652770996,10-2009
118,2009-11-30,16.020671844482422,11-2009
119,2009-12-30,15.318742752075195,12-2009
120,2010-01-29,15.254952430725098,1-2010
121,2010-02-26,16.406005859375,2-2010
122,2010-03-31,19.78705596923828,3-2010
123,2010-04-30,19.85917091369629,4-2010
124,2010-05-31,20.446775436401367,5-2010
125,2010-06-30,15.020955085754395,6-2010
126,2010-07-30,16.700103759765625,7-2010
127,2010-08-31,15.363639831542969,8-2010
128,2010-09-30,16.751510620117188,9-2010
129,2010-10-29,16.13467788696289,10-2010
130,2010-11-30,14.91244125366211,11-2010
131,2010-12-30,15.232276916503906,12-2010
132,2011-01-31,15.82055377960205,1-2011
133,2011-02-28,15.220854759216309,2-2011
134,2011-03-31,15.23798942565918,3-2011
135,2011-04-29,13.970057487487793,4-2011
136,2011-05-31,12.715118408203125,5-2011
137,2011-06-30,11.0709228515625,6-2011
138,2011-07-29,9.576722145080566,7-2011
139,2011-08-31,9.115193367004395,8-2011
140,2011-09-30,8.515203475952148,9-2011
141,2011-10-31,9.461339950561523,10-2011
142,2011-11-30,8.509438514709473,11-2011
143,2011-12-29,8.642127990722656,12-2011
144,2012-01-31,10.528624534606934,1-2012
145,2012-02-29,10.101710319519043,2-2012
146,2012-03-30,9.934405326843262,3-2012
147,2012-04-30,9.913298606872559,4-2012
148,2012-05-31,7.87606954574585,5-2012
149,2012-06-29,6.89989709854126,6-2012
150,2012-07-31,6.38452672958374,7-2012
151,2012-08-31,6.026799201965332,8-2012
152,2012-09-28,6.924150466918945,9-2012
153,2012-10-31,6.808950901031494,10-2012
154,2012-11-30,6.360274314880371,11-2012
155,2012-12-28,7.321014404296875,12-2012
156,2013-01-31,6.635824680328369,1-2013
157,2013-02-28,6.1728620529174805,2-2013
158,2013-03-28,5.635822772979736,3-2013
159,2013-04-30,5.079046249389648,4-2013
160,2013-05-31,4.2443108558654785,5-2013
161,2013-06-28,3.8269426822662354,6-2013
162,2013-07-31,4.218626022338867,7-2013
163,2013-08-30,5.581766605377197,8-2013
164,2013-09-30,6.212177753448486,9-2013
165,2013-10-31,8.0443115234375,10-2013
166,2013-11-29,8.329971313476562,11-2013
167,2013-12-30,10.057513236999512,12-2013
168,2014-01-31,7.826395034790039,1-2014
169,2014-02-28,6.945139408111572,2-2014
170,2014-03-31,7.090332508087158,3-2014
171,2014-04-30,6.168013572692871,4-2014
172,2014-05-30,6.189630031585693,5-2014
173,2014-06-30,6.773285388946533,6-2014
174,2014-07-31,8.25043773651123,7-2014
175,2014-08-29,7.090332508087158,8-2014
176,2014-09-30,6.26889181137085,9-2014
177,2014-10-31,5.944638729095459,10-2014
178,2014-11-28,4.359401702880859,11-2014
179,2014-12-30,4.071176528930664,12-2014
180,2015-01-30,3.1387784481048584,1-2015
181,2015-02-27,3.86368727684021,2-2015
182,2015-03-31,4.214104652404785,3-2015
183,2015-04-30,6.243405342102051,4-2015
184,2015-05-29,4.77391242980957,5-2015
185,2015-06-30,4.035277843475342,6-2015
186,2015-07-31,3.382169008255005,7-2015
187,2015-08-31,2.721285343170166,8-2015
188,2015-09-30,3.047839641571045,9-2015
189,2015-10-30,3.374393939971924,10-2015
190,2015-11-30,4.276305675506592,11-2015
191,2015-12-30,3.1100404262542725,12-2015
192,2016-01-29,2.7601609230041504,1-2016
193,2016-02-29,4.043052673339844,2-2016
194,2016-03-31,5.543647289276123,3-2016
195,2016-04-29,10.216482162475586,4-2016
196,2016-05-31,5.084916591644287,5-2016
197,2016-06-30,6.080129146575928,6-2016
198,2016-07-29,8.607036590576172,7-2016
199,2016-08-31,6.686587810516357,8-2016
200,2016-09-30,7.067565441131592,9-2016
201,2016-10-31,8.350458145141602,10-2016
202,2016-11-30,9.664449691772461,11-2016
203,2016-12-29,8.43598461151123,12-2016
204,2017-01-31,8.980241775512695,1-2017
205,2017-02-24,9.31457233428955,2-2017
206,2017-03-31,7.0831170082092285,3-2017
207,2017-04-28,6.025703430175781,4-2017
208,2017-05-31,5.333719253540039,5-2017
209,2017-06-30,5.582522869110107,6-2017
210,2017-07-31,5.924626350402832,7-2017
211,2017-08-31,6.756562232971191,8-2017
212,2017-09-29,7.471872329711914,9-2017
213,2017-10-31,6.554410934448242,10-2017
214,2017-11-30,5.722474575042725,11-2017
215,2017-12-29,6.5155348777771,12-2017
