"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"03.01.2000","1,90","1,88","1,92","1,88","221,00K","1,06%"
"04.01.2000","1,85","1,88","1,88","1,84","1,62M","-2,63%"
"05.01.2000","1,90","1,84","1,91","1,80","1,79M","2,70%"
"06.01.2000","1,97","1,90","2,00","1,90","2,22M","3,68%"
"07.01.2000","2,06","1,99","2,10","1,95","4,43M","4,57%"
"10.01.2000","2,13","2,15","2,15","2,06","2,09M","3,40%"
"11.01.2000","2,10","2,11","2,13","2,07","797,27K","-1,41%"
"12.01.2000","2,13","2,11","2,13","2,09","821,90K","1,43%"
"13.01.2000","1,88","2,15","2,23","1,88","593,33K","-11,74%"
"14.01.2000","2,11","2,07","2,15","2,03","960,46K","12,23%"
"17.01.2000","2,12","2,11","2,15","2,11","537,46K","0,47%"
"18.01.2000","2,27","2,12","2,27","2,12","1,34M","7,08%"
"19.01.2000","2,18","2,26","2,27","2,17","605,95K","-3,96%"
"20.01.2000","2,13","2,19","2,19","2,07","501,62K","-2,29%"
"21.01.2000","2,13","2,15","2,15","2,03","991,37K","0,00%"
"24.01.2000","2,09","2,13","2,13","2,09","309,76K","-1,88%"
"26.01.2000","2,03","2,07","2,07","2,01","971,78K","-2,87%"
"27.01.2000","2,05","2,07","2,07","2,03","1,61M","0,99%"
"28.01.2000","2,05","2,05","2,06","2,03","682,24K","0,00%"
"31.01.2000","1,95","1,95","1,99","1,95","760,54K","-4,88%"
"01.02.2000","1,93","1,97","1,99","1,91","2,29M","-1,03%"
"02.02.2000","1,95","1,93","1,95","1,93","1,96M","1,04%"
"03.02.2000","2,00","1,99","2,01","1,98","1,91M","2,56%"
"04.02.2000","1,95","2,01","2,03","1,95","575,62K","-2,50%"
"07.02.2000","2,05","2,03","2,05","2,01","646,45K","5,13%"
"08.02.2000","2,13","2,04","2,13","2,04","1,91M","3,90%"
"09.02.2000","2,11","2,11","2,15","2,09","1,88M","-0,94%"
"10.02.2000","2,09","2,11","2,11","2,07","1,20M","-0,95%"
"11.02.2000","2,03","2,09","2,09","2,03","443,83K","-2,87%"
"14.02.2000","1,97","1,96","1,99","1,96","666,65K","-2,96%"
"15.02.2000","1,99","1,96","2,00","1,96","439,65K","1,02%"
"16.02.2000","2,03","1,99","2,03","1,99","1,32M","2,01%"
"17.02.2000","2,03","2,01","2,04","2,01","759,22K","0,00%"
"18.02.2000","2,02","2,02","2,02","2,02","516,89K","-0,49%"
"21.02.2000","2,04","2,02","2,05","2,02","1,27M","0,99%"
"22.02.2000","2,02","2,05","2,05","2,00","1,92M","-0,98%"
"23.02.2000","2,02","2,02","2,04","2,01","2,56M","0,00%"
"24.02.2000","1,97","2,02","2,03","1,97","1,92M","-2,48%"
"25.02.2000","1,97","1,97","1,97","1,97","9,41M","0,00%"
"28.02.2000","1,91","2,11","2,11","1,91","1,57M","-3,05%"
"29.02.2000","1,92","1,95","1,95","1,90","527,36K","0,52%"
"01.03.2000","1,91","1,92","1,92","1,90","637,65K","-0,52%"
"02.03.2000","1,90","1,91","1,91","1,90","983,34K","-0,52%"
"03.03.2000","1,90","1,91","1,91","1,89","1,72M","0,00%"
"08.03.2000","1,90","1,90","1,90","1,88","1,11M","0,00%"
"09.03.2000","1,89","1,90","1,90","1,87","1,20M","-0,53%"
"10.03.2000","1,90","1,89","1,90","1,88","1,78M","0,53%"
"13.03.2000","1,87","1,84","1,90","1,84","563,00K","-1,58%"
"14.03.2000","1,84","1,88","1,88","1,82","802,67K","-1,60%"
"15.03.2000","1,78","1,80","1,80","1,78","1,93M","-3,26%"
"16.03.2000","1,84","1,83","1,84","1,83","504,47K","3,37%"
"17.03.2000","1,78","1,80","1,80","1,77","2,24M","-3,26%"
"20.03.2000","1,78","1,80","1,82","1,77","450,67K","0,00%"
"22.03.2000","1,78","1,78","1,78","1,76","1,18M","0,00%"
"23.03.2000","1,84","1,80","1,84","1,80","2,72M","3,37%"
"24.03.2000","1,84","1,88","1,88","1,82","719,24K","0,00%"
"27.03.2000","1,84","1,86","1,87","1,83","888,93K","0,00%"
"28.03.2000","1,80","1,84","1,84","1,78","1,01M","-2,17%"
"29.03.2000","1,81","1,88","1,88","1,79","806,22K","0,56%"
"30.03.2000","1,80","1,80","1,80","1,78","798,39K","-0,55%"
"31.03.2000","1,78","1,82","1,82","1,76","396,04K","-1,11%"
"03.04.2000","1,70","1,76","1,78","1,69","1,21M","-4,49%"
"04.04.2000","1,72","1,75","1,75","1,68","468,18K","1,18%"
"05.04.2000","1,72","1,76","1,76","1,72","971,98K","0,00%"
"06.04.2000","1,75","1,74","1,78","1,72","394,65K","1,74%"
"07.04.2000","1,76","1,78","1,80","1,76","1,23M","0,57%"
"10.04.2000","1,74","1,80","1,80","1,72","435,78K","-1,14%"
"11.04.2000","1,72","1,73","1,76","1,72","134,59K","-1,15%"
"12.04.2000","1,72","1,73","1,74","1,71","629,57K","0,00%"
"13.04.2000","1,64","1,69","1,72","1,64","321,32K","-4,65%"
"14.04.2000","1,55","1,62","1,63","1,54","743,85K","-5,49%"
"17.04.2000","1,52","1,55","1,57","1,44","1,33M","-1,94%"
"18.04.2000","1,59","1,56","1,62","1,56","1,33M","4,61%"
"19.04.2000","1,56","1,61","1,64","1,52","746,73K","-1,89%"
"24.04.2000","1,64","1,64","1,64","1,60","677,14K","5,13%"
"25.04.2000","1,69","1,76","1,76","1,64","457,36K","3,05%"
"26.04.2000","1,69","1,70","1,71","1,68","913,00K","0,00%"
"27.04.2000","1,72","1,69","1,72","1,68","1,11M","1,78%"
"28.04.2000","1,70","1,72","1,73","1,68","449,91K","-1,16%"
"02.05.2000","1,80","1,73","1,80","1,70","269,85K","5,88%"
"03.05.2000","1,73","1,79","1,79","1,73","192,03K","-3,89%"
"04.05.2000","1,75","1,75","1,76","1,75","369,28K","1,16%"
"08.05.2000","1,75","1,78","1,78","1,75","154,18K","0,00%"
"09.05.2000","1,68","1,75","1,76","1,62","187,95K","-4,00%"
"10.05.2000","1,63","1,67","1,67","1,60","313,72K","-2,98%"
"11.05.2000","1,63","1,62","1,64","1,61","842,96K","0,00%"
"12.05.2000","1,59","1,72","1,72","1,58","323,54K","-2,45%"
"15.05.2000","1,59","1,60","1,60","1,59","2,93M","0,00%"
"16.05.2000","1,61","1,60","1,64","1,59","1,77M","1,26%"
"17.05.2000","1,58","1,61","1,61","1,56","134,33K","-1,86%"
"18.05.2000","1,48","1,56","1,56","1,47","1,16M","-6,33%"
"19.05.2000","1,44","1,46","1,46","1,41","281,52K","-2,70%"
"22.05.2000","1,40","1,45","1,45","1,38","939,45K","-2,78%"
"23.05.2000","1,34","1,40","1,41","1,33","795,53K","-4,29%"
"24.05.2000","1,33","1,37","1,37","1,30","1,31M","-0,75%"
"26.05.2000","1,43","1,37","1,44","1,37","488,23K","7,52%"
"29.05.2000","1,47","1,48","1,48","1,45","805,61K","2,80%"
"30.05.2000","1,56","1,48","1,56","1,47","2,34M","6,12%"
"31.05.2000","1,62","1,55","1,62","1,55","2,09M","3,85%"
"01.06.2000","1,72","1,60","1,72","1,60","1,42M","6,17%"
"02.06.2000","1,69","1,75","1,76","1,64","1,69M","-1,74%"
"05.06.2000","1,70","1,72","1,72","1,68","1,02M","0,59%"
"06.06.2000","1,71","1,73","1,76","1,68","1,23M","0,59%"
"07.06.2000","1,73","1,71","1,73","1,70","795,34K","1,17%"
"08.06.2000","1,73","1,76","1,76","1,68","1,18M","0,00%"
"09.06.2000","1,72","1,72","1,73","1,69","928,91K","-0,58%"
"12.06.2000","1,68","1,68","1,70","1,66","314,36K","-2,33%"
"13.06.2000","1,66","1,67","1,68","1,64","390,62K","-1,19%"
"14.06.2000","1,61","1,66","1,66","1,60","534,14K","-3,01%"
"15.06.2000","1,54","1,62","1,64","1,54","1,15M","-4,35%"
"16.06.2000","1,52","1,56","1,56","1,47","889,14K","-1,30%"
"20.06.2000","1,52","1,52","1,56","1,51","1,52M","0,00%"
"21.06.2000","1,66","1,56","1,66","1,54","3,29M","9,21%"
"23.06.2000","1,64","1,67","1,68","1,62","1,22M","-1,20%"
"26.06.2000","1,61","1,66","1,66","1,61","850,02K","-1,83%"
"27.06.2000","1,65","1,61","1,67","1,61","961,48K","2,48%"
"28.06.2000","1,74","1,68","1,76","1,68","1,49M","5,45%"
"29.06.2000","1,73","1,69","1,74","1,69","1,96M","-0,57%"
"30.06.2000","1,72","1,73","1,75","1,72","1,13M","-0,58%"
"03.07.2000","1,72","1,72","1,73","1,70","796,33K","0,00%"
"04.07.2000","1,79","1,72","1,80","1,72","2,02M","4,07%"
"05.07.2000","1,82","1,80","1,90","1,80","3,35M","1,68%"
"06.07.2000","1,87","1,84","1,89","1,84","2,27M","2,75%"
"07.07.2000","1,90","1,89","1,91","1,89","1,39M","1,60%"
"10.07.2000","1,91","1,91","1,93","1,91","2,87M","0,53%"
"11.07.2000","1,84","1,91","1,91","1,80","1,28M","-3,66%"
"12.07.2000","1,81","1,84","1,88","1,81","1,64M","-1,63%"
"13.07.2000","1,81","1,82","1,84","1,80","1,02M","0,00%"
"14.07.2000","1,82","1,80","1,82","1,80","980,98K","0,55%"
"17.07.2000","1,84","1,84","1,86","1,83","1,64M","1,10%"
"18.07.2000","1,85","1,86","1,87","1,84","1,68M","0,54%"
